"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arg1.7",1.61199376184054e-242,5.42948744543447,0.798,0.022,2.2260021857256e-238,"C7","Arg1"
"Tmsb10.5",1.62589535776218e-220,3.68296418236523,0.989,0.349,2.2451988995338e-216,"C7","Tmsb10"
"Vim.3",1.6564094061689e-200,3.0238162515578,0.956,0.37,2.28733574897864e-196,"C7","Vim"
"Sdc4.6",1.84873971454316e-194,2.58783777537903,0.754,0.008,2.55292467181264e-190,"C7","Sdc4"
"Tmem256.6",1.46714802225683e-184,1.77267882216783,0.667,0.003,2.02598470393446e-180,"C7","Tmem256"
"Rps4x.7",3.53374144272335e-184,2.70899965048527,0.918,0.26,4.87974355825667e-180,"C7","Rps4x"
"Rps24.6",1.97096100500638e-180,2.43490338295236,0.989,0.652,2.72170005181331e-176,"C7","Rps24"
"Lgals1.6",2.26951162342947e-180,2.47171190586289,0.705,0.007,3.13396860079376e-176,"C7","Lgals1"
"F13a1.5",2.59562196135455e-174,2.93527564383125,0.754,0.027,3.5842943664345e-170,"C7","F13a1"
"S100a10.6",9.01639234266633e-164,2.98636758427067,0.874,0.081,1.24507361859879e-159,"C7","S100a10"
"Msr1.6",5.5343934383817e-163,1.7971432382398,0.612,0.003,7.64244389906129e-159,"C7","Msr1"
"Crip1.7",2.43768430763356e-161,3.0898027812946,0.65,0.008,3.36619826041118e-157,"C7","Crip1"
"Sdc3.6",3.78268905578972e-157,1.44768819109643,0.568,0.002,5.22351531714003e-153,"C7","Sdc3"
"Lrp1.5",2.1647495212423e-156,2.21734920029187,0.727,0.021,2.98930261388349e-152,"C7","Lrp1"
"Malat1.7",1.88136005659729e-151,-1.65530618058818,0.951,0.975,2.59797010215519e-147,"C7","Malat1"
"Ass1.7",1.71309110333604e-149,1.65816464087941,0.552,0.002,2.36560750459674e-145,"C7","Ass1"
"Mt1.5",4.4816278241755e-149,4.3701544550595,0.721,0.037,6.18867986240394e-145,"C7","Mt1"
"Fn1.5",1.02049454698817e-143,3.82567539621038,0.617,0.016,1.40920091993596e-139,"C7","Fn1"
"Il7r.6",2.19290216870159e-135,1.84686074258666,0.563,0.006,3.02817860476003e-131,"C7","Il7r"
"Mmp14.4",3.46511641281809e-135,1.69766684525009,0.579,0.008,4.78497925446049e-131,"C7","Mmp14"
"Ecm1.3",1.13259156115166e-133,2.51326675899372,0.667,0.03,1.56399568679433e-129,"C7","Ecm1"
"S100a9.6",2.59031097175389e-129,-3.54568697316279,0.803,0.972,3.57696042089494e-125,"C7","S100a9"
"Irf8.5",3.18705022260836e-124,1.12005477309007,0.464,0.002,4.40099765239988e-120,"C7","Irf8"
"S100a8.5",3.46326326819173e-124,-3.12812441457903,0.858,0.988,4.78242024704596e-120,"C7","S100a8"
"Emp1.5",2.26545830975963e-123,1.24853037888445,0.481,0.003,3.12837137994707e-119,"C7","Emp1"
"Pid1.5",2.55867817119769e-123,1.98720466669344,0.672,0.034,3.53327868660689e-119,"C7","Pid1"
"Ctsh.5",1.0359179911193e-122,2.27510566818412,0.809,0.186,1.43049915393664e-118,"C7","Ctsh"
"Rpl15.6",3.04677231990496e-121,2.15712854185249,0.94,0.35,4.20728789655675e-117,"C7","Rpl15"
"Ahnak.4",2.902467883173e-118,2.37912034668042,0.82,0.109,4.00801789987359e-114,"C7","Ahnak"
"Sdc1.6",8.91237704092961e-118,1.755849639487,0.454,0.002,1.23071014558197e-113,"C7","Sdc1"
"Selenow.3",1.11695095514901e-115,1.39115564057093,0.617,0.024,1.54239757396526e-111,"C7","Selenow"
"Rps20.7",3.31688618245619e-115,2.24598171541118,0.973,0.469,4.58028812935375e-111,"C7","Rps20"
"Rplp0.7",4.76586902380942e-112,1.89921217913801,0.978,0.623,6.58118853497843e-108,"C7","Rplp0"
"Slc7a2.4",8.94503425761153e-112,2.28280242594657,0.426,0.002,1.23521978063358e-107,"C7","Slc7a2"
"Fcgr2b.6",2.02239226195276e-111,2.3861174361437,0.77,0.127,2.79272147453057e-107,"C7","Fcgr2b"
"Pdpn.4",4.8703456970163e-110,2.3045468302382,0.59,0.03,6.72546037300981e-106,"C7","Pdpn"
"Ctsc.5",4.57137044538045e-108,2.34592411160714,0.738,0.1,6.31260544802587e-104,"C7","Ctsc"
"Rpsa.7",2.68316037723478e-107,2.26630003662192,0.945,0.379,3.7051761649235e-103,"C7","Rpsa"
"Npm1.6",3.71721257804272e-107,1.91552791989864,0.776,0.086,5.13309884901919e-103,"C7","Npm1"
"Prelid2.6",2.23386104651222e-106,0.965237319514542,0.415,0.002,3.08473871912873e-102,"C7","Prelid2"
"Msrb1.6",1.02580135015612e-104,-2.22626400524934,0.585,0.915,1.41652908443059e-100,"C7","Msrb1"
