"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Il1b.1",6.5728587216621e-95,-1.87864232069846,0.665,0.824,9.07646060874319e-91,"Granulocytes 2","Il1b"
"Ftl1.1",1.64960497018374e-89,0.696652910678005,0.991,0.994,2.27793950332673e-85,"Granulocytes 2","Ftl1"
"Lcn2.1",1.42094981019952e-69,0.792120401551004,0.974,0.915,1.96218959290452e-65,"Granulocytes 2","Lcn2"
"Impa2.1",9.56565072300564e-69,0.846580851720547,0.58,0.413,1.32092070833985e-64,"Granulocytes 2","Impa2"
"Bsg.1",1.07500957822165e-68,0.641460721729397,0.899,0.828,1.48448072656627e-64,"Granulocytes 2","Bsg"
"Fth1.1",1.38936340973224e-68,0.567760877652516,0.999,1,1.91857193249925e-64,"Granulocytes 2","Fth1"
"Ero1l.1",7.68780769850902e-65,0.762856707675993,0.892,0.794,1.06160936508711e-60,"Granulocytes 2","Ero1l"
"Lmnb1.1",8.76743791006837e-62,-1.15497663278845,0.151,0.379,1.21069550100134e-57,"Granulocytes 2","Lmnb1"
"Ctsb.1",7.44501695254373e-57,0.575069304239463,0.908,0.854,1.02808239097676e-52,"Granulocytes 2","Ctsb"
"Aldoa.1",1.46419663379394e-56,0.452687650869199,0.974,0.953,2.02190913160605e-52,"Granulocytes 2","Aldoa"
"Lrg1.1",9.05631884612583e-56,-1.37117572551505,0.08,0.277,1.25058706946152e-51,"Granulocytes 2","Lrg1"
"Bnip3.1",8.86221068658238e-55,0.617169541490027,0.845,0.729,1.22378267371016e-50,"Granulocytes 2","Bnip3"
"Tpi1.1",5.95557024279662e-54,0.50029838338481,0.936,0.886,8.22404694827785e-50,"Granulocytes 2","Tpi1"
"Fau.1",1.62468072760143e-53,0.456358682340952,0.995,0.996,2.24352161674482e-49,"Granulocytes 2","Fau"
"Hdc.1",1.75959073346289e-53,-1.21057597946062,0.323,0.522,2.4298188438389e-49,"Granulocytes 2","Hdc"
"Cst3.1",4.42791474551722e-53,-0.871132081597821,0.285,0.538,6.11450747208473e-49,"Granulocytes 2","Cst3"
"Basp1.1",1.10790787627755e-51,0.550548678146149,0.921,0.842,1.52990998635168e-47,"Granulocytes 2","Basp1"
"Gapdh.1",1.31343806962391e-49,0.447573768827525,0.967,0.97,1.81372663034366e-45,"Granulocytes 2","Gapdh"
"Gpi1.1",7.1356751980976e-49,0.657050426294149,0.725,0.622,9.85365388105298e-45,"Granulocytes 2","Gpi1"
"Esd.1",1.38835506366253e-47,0.6122086641929,0.869,0.773,1.91717950741158e-43,"Granulocytes 2","Esd"
"Actb.1",1.70653736021295e-47,-0.843236772855859,0.897,0.951,2.35655744071806e-43,"Granulocytes 2","Actb"
"Plaur.1",1.96008622843463e-47,-1.02518600116966,0.263,0.481,2.70668307284538e-43,"Granulocytes 2","Plaur"
"Mrpl33.1",1.76904196950997e-44,-0.753621285226737,0.378,0.6,2.44287005569632e-40,"Granulocytes 2","Mrpl33"
"Msrb1.1",2.93993513703632e-44,0.450668180217899,0.932,0.897,4.05975643073346e-40,"Granulocytes 2","Msrb1"
"Pfn1.1",1.00848778575634e-43,-0.55456370557582,0.764,0.879,1.39262078335092e-39,"Granulocytes 2","Pfn1"
"Junb.1",7.23379393444285e-43,-0.686194031395937,0.765,0.884,9.98914604407213e-39,"Granulocytes 2","Junb"
"Cd274.1",1.26268286054584e-41,0.655411010180059,0.734,0.595,1.74363876212775e-37,"Granulocytes 2","Cd274"
"Bnip3l.1",1.30881729997204e-41,0.556061536931956,0.712,0.653,1.80734580953139e-37,"Granulocytes 2","Bnip3l"
"Atp6v0c.1",5.64272027265442e-41,0.453526361465446,0.958,0.943,7.79203242450849e-37,"Granulocytes 2","Atp6v0c"
"Ly6e.1",7.90341707826461e-41,-0.829527951163567,0.099,0.279,1.09138286433756e-36,"Granulocytes 2","Ly6e"
"Ldha.1",8.12977372904245e-41,0.426481813040575,0.944,0.92,1.12264045424347e-36,"Granulocytes 2","Ldha"
"Tmem189.1",1.49120795343642e-40,0.490613398790231,0.72,0.655,2.05920906290035e-36,"Granulocytes 2","Tmem189"
"Gadd45b.1",1.28458670166913e-39,0.503559598917024,0.92,0.818,1.7738857763349e-35,"Granulocytes 2","Gadd45b"
"Card19.1",4.78282702758345e-39,0.508723057606098,0.869,0.822,6.60460584238998e-35,"Granulocytes 2","Card19"
"Isg15.1",5.46466430564422e-39,-1.43605350959762,0.216,0.403,7.5461549396641e-35,"Granulocytes 2","Isg15"
"Emb.1",1.69437446809836e-38,-0.623849359339519,0.102,0.278,2.33976170299702e-34,"Granulocytes 2","Emb"
"Tmed5.1",2.08804481570214e-38,-0.496677044657544,0.11,0.287,2.88338108600309e-34,"Granulocytes 2","Tmed5"
"Socs3.1",2.26498382052319e-38,-0.639411180520983,0.166,0.363,3.12771615776047e-34,"Granulocytes 2","Socs3"
"Hcls1.1",2.95485120934297e-37,-0.502127687490994,0.148,0.337,4.08035403498171e-33,"Granulocytes 2","Hcls1"
"Ifitm2.1",3.1046733787577e-37,-0.812264730471795,0.769,0.858,4.2872434687265e-33,"Granulocytes 2","Ifitm2"
"S100a11.1",3.41454186347553e-37,-0.988326830013508,0.889,0.918,4.71514085927336e-33,"Granulocytes 2","S100a11"
"Nme2.1",6.41906695285806e-37,-0.619391892752926,0.039,0.174,8.86408955520169e-33,"Granulocytes 2","Nme2"
"Sell.1",2.95034051662219e-36,-0.772583171699566,0.154,0.336,4.07412521940358e-32,"Granulocytes 2","Sell"
"Egr1.1",1.05344198449351e-35,-0.795404603546225,0.188,0.379,1.45469803638709e-31,"Granulocytes 2","Egr1"
"Cstb.1",1.64272043506593e-35,0.407929626447566,0.939,0.904,2.26843264878254e-31,"Granulocytes 2","Cstb"
"Gna13.1",1.93179646691974e-35,0.518793565031957,0.638,0.556,2.66761774116947e-31,"Granulocytes 2","Gna13"
"Rtp4.1",3.53594452244238e-35,-0.682163413509216,0.11,0.279,4.88278579104068e-31,"Granulocytes 2","Rtp4"
"Trem1.1",4.65923376213497e-35,-0.782510327006168,0.329,0.519,6.43393590213218e-31,"Granulocytes 2","Trem1"
"Rpsa.1",5.23603411846228e-35,-0.857647071818546,0.252,0.437,7.23043951418456e-31,"Granulocytes 2","Rpsa"
"Smchd1.1",1.15244670521236e-34,-0.473711530248563,0.049,0.185,1.59141365522775e-30,"Granulocytes 2","Smchd1"
"2410006H16Rik.1",1.87581948401463e-34,0.643981964805576,0.526,0.46,2.5903191254758e-30,"Granulocytes 2","2410006H16Rik"
"Nos2.1",7.06991717560492e-34,0.523950378166325,0.656,0.473,9.76284862779284e-30,"Granulocytes 2","Nos2"
"Anxa1.1",7.30815868475261e-34,-0.67034188693577,0.067,0.211,1.00918363277749e-29,"Granulocytes 2","Anxa1"
"Cxcr2.1",7.42048554123344e-34,-0.931330519639566,0.152,0.323,1.02469484838893e-29,"Granulocytes 2","Cxcr2"
"Osm.1",7.50634873627919e-34,-0.709929227254003,0.065,0.208,1.03655169699279e-29,"Granulocytes 2","Osm"
"Sub1.1",2.05642066775886e-33,-0.586327432840862,0.263,0.46,2.83971130010821e-29,"Granulocytes 2","Sub1"
"Tma7.1",2.07286253613487e-33,-0.462376369496834,0.269,0.467,2.86241587614865e-29,"Granulocytes 2","Tma7"
"Arpc1b.1",3.87575838254045e-33,-0.543373644141012,0.513,0.699,5.35203475045011e-29,"Granulocytes 2","Arpc1b"
"P4ha1.1",4.84990267352002e-33,0.559911112793335,0.661,0.556,6.69723060186379e-29,"Granulocytes 2","P4ha1"
"Rbpj.1",5.31542845943376e-33,0.447114076203057,0.777,0.722,7.34007515963208e-29,"Granulocytes 2","Rbpj"
"F10.1",5.46110157763832e-33,0.620238194583163,0.666,0.563,7.54123516856075e-29,"Granulocytes 2","F10"
"Gabarap.1",5.91418588771183e-33,0.316752240623351,0.951,0.958,8.16689929234126e-29,"Granulocytes 2","Gabarap"
"Fcgr4.1",6.05187812447761e-33,-0.407413993629397,0.072,0.216,8.35703850209113e-29,"Granulocytes 2","Fcgr4"
"Dgat1.1",7.10866355720688e-33,-0.678305133436142,0.132,0.299,9.81635350614698e-29,"Granulocytes 2","Dgat1"
"Prkar1a.1",7.52903724422737e-33,-0.373063648032038,0.271,0.464,1.03968475305536e-28,"Granulocytes 2","Prkar1a"
"Rps18.1",7.62651371291675e-33,-0.927747959436237,0.278,0.455,1.05314527861667e-28,"Granulocytes 2","Rps18"
"Cfp.1",9.57349699013407e-33,-0.441535545486437,0.042,0.17,1.32200419936761e-28,"Granulocytes 2","Cfp"
"Ccdc126.1",1.18611693823358e-32,0.564242624750901,0.472,0.378,1.63790888000675e-28,"Granulocytes 2","Ccdc126"
"Ucp2.1",2.07608131040043e-32,-0.450231778189923,0.113,0.273,2.86686068153196e-28,"Granulocytes 2","Ucp2"
"Lyst.1",3.15594029662264e-32,0.470133642850786,0.622,0.587,4.35803795560621e-28,"Granulocytes 2","Lyst"
"Cd300ld.1",3.61371120112379e-32,-0.553137348294094,0.155,0.33,4.99017379763184e-28,"Granulocytes 2","Cd300ld"
"Cox7a2.1",4.08045482595662e-32,-0.569202127640127,0.383,0.582,5.63470006916349e-28,"Granulocytes 2","Cox7a2"
"Il1r2.1",6.25973874502435e-32,-0.993382245293501,0.227,0.394,8.64407323300412e-28,"Granulocytes 2","Il1r2"
"Lgals3.1",1.01329121025222e-31,0.44986530153465,0.897,0.835,1.39925383223729e-27,"Granulocytes 2","Lgals3"
"Fam107b.1",1.08796367436227e-31,-0.63458055649984,0.176,0.353,1.50236903792686e-27,"Granulocytes 2","Fam107b"
