"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hspa1a.7",5.7772014628623e-151,5.8503307869776,0.703,0.063,7.97773750006656e-147,"Granulocytes 8","Hspa1a"
"Atg2a.6",5.66631167877476e-136,3.38258149038528,0.691,0.208,7.82460979722006e-132,"Granulocytes 8","Atg2a"
"Hsp90aa1.7",6.44371577834175e-123,3.07499512410852,0.8,0.627,8.89812711831212e-119,"Granulocytes 8","Hsp90aa1"
"Hspa1b.5",1.26843851451016e-113,4.83007864970543,0.617,0.049,1.75158674468709e-109,"Granulocytes 8","Hspa1b"
"Hspa8.6",6.39726109768048e-80,2.45495218527796,0.794,0.335,8.83397784978698e-76,"Granulocytes 8","Hspa8"
"Dnaja1.7",2.38548987866503e-50,1.95084414379708,0.606,0.398,3.29412297344854e-46,"Granulocytes 8","Dnaja1"
"Plpbp.4",2.79520430846058e-50,2.09024027672463,0.32,0.058,3.85989762955322e-46,"Granulocytes 8","Plpbp"
"Ccnf.2",1.46530993812414e-44,2.01276321979399,0.32,0.025,2.02344649355562e-40,"Granulocytes 8","Ccnf"
"Pfn1.7",1.32094615590625e-37,-1.37196575914765,0.486,0.868,1.82409454669094e-33,"Granulocytes 8","Pfn1"
"Brf2.2",7.07403025891841e-36,1.44006751030314,0.194,0.012,9.76852838454044e-32,"Granulocytes 8","Brf2"
"Slc38a2.4",1.18459196324561e-35,1.50499764513028,0.606,0.429,1.63580304204586e-31,"Granulocytes 8","Slc38a2"
"Plekhf2.4",1.93816940521468e-35,1.64032706448442,0.371,0.193,2.67641813166096e-31,"Granulocytes 8","Plekhf2"
"Hmox1.8",1.93249425426061e-33,1.35311159839895,0.789,0.658,2.66858131570848e-29,"Granulocytes 8","Hmox1"
"Ifitm2.8",3.15752216176715e-30,-1.69806997917357,0.52,0.85,4.36022235318425e-26,"Granulocytes 8","Ifitm2"
"Msl2.4",2.34530086490044e-29,1.29380530038928,0.291,0.155,3.23862596434102e-25,"Granulocytes 8","Msl2"
"Rab11fip1.7",2.20112873451944e-28,1.42924001739362,0.554,0.47,3.03953866949789e-24,"Granulocytes 8","Rab11fip1"
"Fam160b1.2",3.18458758335988e-27,1.40446380110414,0.229,0.062,4.39759699386166e-23,"Granulocytes 8","Fam160b1"
"Jun.6",9.64795940776911e-27,1.26445536648504,0.766,0.701,1.33228671461884e-22,"Granulocytes 8","Jun"
"Actb.8",3.29389618140406e-26,-1.24149921579026,0.777,0.945,4.54854123690087e-22,"Granulocytes 8","Actb"
