"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps19.2",0,2.12334591985827,0.974,0.552,0,"Granulocytes 3","Rps19"
"Rpl36.2",0,1.99206100934058,0.97,0.534,0,"Granulocytes 3","Rpl36"
"Rpl32.2",0,1.91397118179418,0.974,0.502,0,"Granulocytes 3","Rpl32"
"Rps8.2",0,1.90808518744409,0.983,0.597,0,"Granulocytes 3","Rps8"
"Rpl38.2",0,1.85190264013987,0.989,0.745,0,"Granulocytes 3","Rpl38"
"Rpl8.2",0,1.79189441231232,0.962,0.563,0,"Granulocytes 3","Rpl8"
"Rps26.2",0,1.73535557732903,0.989,0.675,0,"Granulocytes 3","Rps26"
"Rplp1.2",0,1.71045093095476,0.984,0.723,0,"Granulocytes 3","Rplp1"
"Rpl26.2",0,1.69069371492021,0.972,0.64,0,"Granulocytes 3","Rpl26"
"Rps21.2",0,1.59644351576499,0.98,0.745,0,"Granulocytes 3","Rps21"
"Rps18.2",9.88131291682493e-324,1.94924738280288,0.896,0.333,1.36451050068435e-319,"Granulocytes 3","Rps18"
"Rpl13.2",7.67283947991456e-321,1.66559731316919,0.978,0.646,1.0595424037814e-316,"Granulocytes 3","Rpl13"
"Rpl35a.2",1.10392485433822e-315,1.50090853179307,0.994,0.82,1.52440983135565e-311,"Granulocytes 3","Rpl35a"
"Ppia.2",3.64266485093706e-312,2.02371834205758,0.917,0.427,5.03015589265899e-308,"Granulocytes 3","Ppia"
"Rps28.2",2.02939288047869e-311,1.63827745540043,0.989,0.755,2.80238862865302e-307,"Granulocytes 3","Rps28"
"Rpl19.2",6.45264689188195e-310,1.6162248645999,0.97,0.646,8.91046009299978e-306,"Granulocytes 3","Rpl19"
"Rplp2.2",5.83419132957653e-308,1.47450004117727,0.995,0.82,8.05643480701223e-304,"Granulocytes 3","Rplp2"
"Rps15a.2",2.15762925217213e-292,1.60609010979686,0.967,0.614,2.97947023432449e-288,"Granulocytes 3","Rps15a"
"Rpl22.2",3.88469208584645e-288,1.83207783283324,0.901,0.497,5.36437130134536e-284,"Granulocytes 3","Rpl22"
"Rpl11.2",1.1743206820832e-286,1.63576434717906,0.942,0.509,1.62161942988869e-282,"Granulocytes 3","Rpl11"
"Rpl21.2",1.95166231911204e-282,1.52852785597163,0.968,0.646,2.69505049646182e-278,"Granulocytes 3","Rpl21"
"Rps3.2",1.03942900211332e-275,1.46580662285022,0.96,0.67,1.43534750901828e-271,"Granulocytes 3","Rps3"
"Rps11.2",8.2617608854866e-275,1.52534341904146,0.962,0.641,1.14086656067684e-270,"Granulocytes 3","Rps11"
"Rps25.2",1.25120387681947e-270,1.4375406975086,0.972,0.721,1.72778743350001e-266,"Granulocytes 3","Rps25"
"Rps17.2",1.31883674366087e-270,1.80238876660268,0.846,0.347,1.8211816593213e-266,"Granulocytes 3","Rps17"
"Rps5.2",3.87340566919106e-269,1.63661772662954,0.928,0.492,5.34878588858594e-265,"Granulocytes 3","Rps5"
"Rps2.2",1.07917848056195e-265,1.70172474936888,0.904,0.506,1.490237563808e-261,"Granulocytes 3","Rps2"
"Rpl34.2",3.66615910787974e-262,1.3524666369614,0.981,0.794,5.06259911207113e-258,"Granulocytes 3","Rpl34"
"Rpl12.2",4.18812641689846e-262,1.86580526855196,0.822,0.309,5.78338376909508e-258,"Granulocytes 3","Rpl12"
"Rps12.2",1.27492179282864e-261,1.38804638649336,0.974,0.778,1.76053950371707e-257,"Granulocytes 3","Rps12"
"Rps27l.2",2.11596136769621e-261,1.90989523692972,0.769,0.238,2.92193105265169e-257,"Granulocytes 3","Rps27l"
"Rpl18.2",3.04335454966158e-259,1.37823246289912,0.985,0.725,4.20256829762768e-255,"Granulocytes 3","Rpl18"
"Rpl35.2",5.54745824065827e-259,1.64844725697553,0.915,0.441,7.66048508452501e-255,"Granulocytes 3","Rpl35"
"Rps3a1.2",2.60192386481862e-258,1.52293632525649,0.947,0.615,3.59299666492804e-254,"Granulocytes 3","Rps3a1"
"Rps15.2",1.06055697303685e-255,1.65250041650855,0.88,0.448,1.46452312406659e-251,"Granulocytes 3","Rps15"
"Rps29.2",4.90703670571706e-251,1.20703162241312,0.998,0.943,6.77612698692469e-247,"Granulocytes 3","Rps29"
"Rps14.2",3.66342945125883e-247,1.27886840359134,0.977,0.796,5.05882972924332e-243,"Granulocytes 3","Rps14"
"Rpl27a.2",2.1237857166582e-240,1.29965477454173,0.98,0.837,2.9327356961333e-236,"Granulocytes 3","Rpl27a"
"Rps16.1",4.27418150483399e-240,1.17840511103326,0.998,0.904,5.90221724002526e-236,"Granulocytes 3","Rps16"
"Rps23.2",4.71096237871818e-237,1.41955341021789,0.942,0.663,6.50536794877193e-233,"Granulocytes 3","Rps23"
"Rpsa.2",1.41599174465509e-234,1.63043091752616,0.823,0.323,1.95534300019422e-230,"Granulocytes 3","Rpsa"
"Rpl30.2",1.04622799169068e-232,1.32705277288161,0.978,0.791,1.44473623372566e-228,"Granulocytes 3","Rpl30"
"Rpl36al.2",1.21943721850159e-229,1.7707518245435,0.737,0.194,1.68392085502884e-225,"Granulocytes 3","Rpl36al"
"Rpl6.2",2.51026131764606e-226,1.52200482027776,0.888,0.457,3.46641985353745e-222,"Granulocytes 3","Rpl6"
"Rpl5.2",1.12964571866333e-224,1.63529888233654,0.775,0.263,1.55992777290219e-220,"Granulocytes 3","Rpl5"
"Rps20.2",8.87410126949183e-223,1.72907046514096,0.859,0.42,1.22542464430413e-218,"Granulocytes 3","Rps20"
