"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Stfa2l1.4",3.16316005858935e-96,1.82356525032997,0.827,0.524,4.36800772490603e-92,"Granulocytes 5","Stfa2l1"
"Cstdc4.4",1.40596074122852e-87,1.72460423986345,0.851,0.531,1.94149118756246e-83,"Granulocytes 5","Cstdc4"
"S100a6.3",6.74677691012092e-58,1.15730835511986,0.964,0.902,9.31662423518598e-54,"Granulocytes 5","S100a6"
"Anxa2.3",8.79536452695169e-56,0.948375289803913,0.938,0.742,1.21455188752676e-51,"Granulocytes 5","Anxa2"
"Fam162a.3",5.71691160744399e-51,1.07519891752182,0.873,0.664,7.8944832387194e-47,"Granulocytes 5","Fam162a"
"Rhoa.4",3.16025641859987e-42,0.700281606405375,0.962,0.839,4.36399808844455e-38,"Granulocytes 5","Rhoa"
"Klf2.3",8.31549473561045e-40,1.08092111984122,0.811,0.628,1.14828666804045e-35,"Granulocytes 5","Klf2"
"Cd9.3",1.29409221522602e-37,0.644949893677712,0.988,0.932,1.78701194000561e-33,"Granulocytes 5","Cd9"
"Ezr.3",3.75391381504791e-37,1.02610930855881,0.705,0.485,5.18377958719966e-33,"Granulocytes 5","Ezr"
"Thbs1.4",2.47928000067752e-33,-2.1691367833809,0.252,0.475,3.42363775293559e-29,"Granulocytes 5","Thbs1"
"Lgals3.4",7.6216074341473e-33,0.477528822027215,0.986,0.836,1.0524677705814e-28,"Granulocytes 5","Lgals3"
"Stfa2.3",3.07838236792261e-31,1.93870169278298,0.307,0.098,4.25093821186433e-27,"Granulocytes 5","Stfa2"
"Gpx1.4",3.90934124673044e-31,1.34604507174948,0.631,0.386,5.39840932761007e-27,"Granulocytes 5","Gpx1"
"Klhdc4.3",7.03372648776893e-31,0.909949593251342,0.547,0.322,9.71287290696012e-27,"Granulocytes 5","Klhdc4"
"Hdc.4",4.63937091874664e-30,-1.44494097570946,0.324,0.493,6.40650730169724e-26,"Granulocytes 5","Hdc"
