"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Isg15.5",1.62597642834939e-131,2.81835587180937,0.777,0.341,2.24531084990767e-127,"Granulocytes 7","Isg15"
"Ifit1.5",5.34724089341261e-119,3.07534835071802,0.459,0.049,7.38400494971348e-115,"Granulocytes 7","Ifit1"
"Rsad2.6",6.32934265571456e-104,2.89488319083578,0.64,0.167,8.74018927327623e-100,"Granulocytes 7","Rsad2"
"Ifitm3.6",1.12211771086033e-102,1.88821784582148,0.947,0.692,1.54953234692704e-98,"Granulocytes 7","Ifitm3"
"Ly6e.6",6.13200624549575e-101,2.07825510373494,0.714,0.215,8.46768742440508e-97,"Granulocytes 7","Ly6e"
"Trim30a.6",3.88000889912735e-100,1.77414290011275,0.742,0.228,5.35790428880496e-96,"Granulocytes 7","Trim30a"
"Oasl2.6",2.27523444986211e-95,1.93312402593057,0.647,0.178,3.14187125181458e-91,"Granulocytes 7","Oasl2"
"Gbp2.5",1.22179521929501e-94,2.62561161386193,0.516,0.104,1.68717701832448e-90,"Granulocytes 7","Gbp2"
"Ifi47.5",3.92679106186085e-93,1.95280785237855,0.413,0.033,5.42250577732365e-89,"Granulocytes 7","Ifi47"
"Rtp4.6",6.60428920941823e-85,1.806653699075,0.678,0.219,9.11986296928563e-81,"Granulocytes 7","Rtp4"
"Samhd1.4",2.23345918544345e-84,1.65013058125779,0.707,0.271,3.08418378917886e-80,"Granulocytes 7","Samhd1"
"Parp14.3",2.85925897678097e-82,1.77094746926057,0.597,0.173,3.94835072103684e-78,"Granulocytes 7","Parp14"
"Slfn5.5",4.39657621468251e-81,2.03875094255669,0.53,0.111,6.07123209485508e-77,"Granulocytes 7","Slfn5"
"Cxcr2.5",2.39695435888732e-79,2.03827922941755,0.65,0.267,3.3099542741875e-75,"Granulocytes 7","Cxcr2"
"Isg20.6",1.21623036635105e-75,1.75212298686339,0.675,0.279,1.67949251289416e-71,"Granulocytes 7","Isg20"
"Gbp5.4",3.22150697371334e-75,1.94113154501329,0.403,0.054,4.44857898000075e-71,"Granulocytes 7","Gbp5"
"Gm13822.5",2.47750652737689e-73,1.69757808372695,0.392,0.045,3.42118876365475e-69,"Granulocytes 7","Gm13822"
"Fgl2.5",2.53637728677179e-73,1.89497290849216,0.424,0.073,3.50248339530317e-69,"Granulocytes 7","Fgl2"
"Irgm1.3",1.83171116650526e-71,1.38229216827409,0.396,0.046,2.52940994982711e-67,"Granulocytes 7","Irgm1"
"Ifit3b.3",4.00359082376446e-70,1.40916762235783,0.276,0.011,5.52855856853634e-66,"Granulocytes 7","Ifit3b"
"Stat1.4",3.78596712521585e-68,1.74151189353537,0.516,0.122,5.22804200321057e-64,"Granulocytes 7","Stat1"
"Slfn1.6",2.29785620388347e-67,1.55032155469149,0.799,0.404,3.17310963194268e-63,"Granulocytes 7","Slfn1"
"Ifit3.5",3.89767517876178e-67,2.12263139334454,0.297,0.021,5.38229965435214e-63,"Granulocytes 7","Ifit3"
"Psmb8.6",5.75072622073036e-67,1.6047384731484,0.661,0.233,7.94117783820656e-63,"Granulocytes 7","Psmb8"
"Herc6.4",1.99130013522558e-65,1.41253468139255,0.371,0.048,2.749786356733e-61,"Granulocytes 7","Herc6"
"Xaf1.4",2.41519378482422e-65,1.5059185400224,0.42,0.072,3.33514109746376e-61,"Granulocytes 7","Xaf1"
"Gbp7.4",2.60225614268026e-65,1.37130680123898,0.403,0.054,3.59345550742718e-61,"Granulocytes 7","Gbp7"
"Irf7.4",7.74009756964303e-65,1.48528908562433,0.477,0.111,1.06883007339201e-60,"Granulocytes 7","Irf7"
"Lrg1.6",2.84086577727741e-60,2.02088216863934,0.58,0.217,3.92295155184238e-56,"Granulocytes 7","Lrg1"
"H2-D1.6",3.35453792812876e-58,1.03717868405622,0.979,0.882,4.632281424953e-54,"Granulocytes 7","H2-D1"
"Ddx60.4",6.74002033949408e-58,1.49305347958885,0.399,0.076,9.30729408680738e-54,"Granulocytes 7","Ddx60"
"B2m.6",6.99520074001119e-58,1.09265897919094,0.982,0.929,9.65967270188145e-54,"Granulocytes 7","B2m"
"Ifi204.4",8.69255808235195e-56,1.57196822508003,0.569,0.262,1.20035534559198e-51,"Granulocytes 7","Ifi204"
"Usp18.5",4.36532311727096e-55,1.24010376065881,0.367,0.052,6.02807469263946e-51,"Granulocytes 7","Usp18"
"Oasl1.5",1.13203907650766e-54,1.31791854626033,0.329,0.038,1.56323276074943e-50,"Granulocytes 7","Oasl1"
"Slfn8.3",2.56533926017792e-52,1.24181888000099,0.396,0.077,3.54247698437969e-48,"Granulocytes 7","Slfn8"
"Trim30d.4",7.80159138634468e-52,1.27264180444493,0.498,0.14,1.07732175454034e-47,"Granulocytes 7","Trim30d"
"Ifit2.4",9.42851212383192e-51,1.43565974234116,0.198,0.008,1.30198323917995e-46,"Granulocytes 7","Ifit2"
"Oas3.5",1.20009764823226e-50,1.1570825129174,0.375,0.078,1.65721484244393e-46,"Granulocytes 7","Oas3"
"Trim12a.5",1.23782410796639e-50,1.18992367887925,0.505,0.149,1.70931131069079e-46,"Granulocytes 7","Trim12a"
"Sell.5",1.50346544079387e-50,1.45311898574983,0.636,0.279,2.07613542719226e-46,"Granulocytes 7","Sell"
"Csf3r.5",2.18016610624617e-50,1.24059922242818,0.777,0.515,3.01059137611534e-46,"Granulocytes 7","Csf3r"
"Trim12c.4",3.90040490912524e-50,1.14209541568327,0.456,0.11,5.38606913901104e-46,"Granulocytes 7","Trim12c"
"Irf1.3",4.94553628514601e-50,1.48080187569344,0.505,0.16,6.82929105615813e-46,"Granulocytes 7","Irf1"
"Zbp1.4",1.28333837457848e-49,1.4097667442133,0.399,0.093,1.77216196145543e-45,"Granulocytes 7","Zbp1"
"Cebpd.5",2.54779890487132e-49,1.40875287447123,0.473,0.157,3.51825550773681e-45,"Granulocytes 7","Cebpd"
"Cd52.6",5.233975234339e-49,1.03934793825025,0.982,0.86,7.22759640109872e-45,"Granulocytes 7","Cd52"
"Gbp3.3",6.72023420610444e-49,0.855600043595752,0.219,0.012,9.27997141520962e-45,"Granulocytes 7","Gbp3"
"Slfn4.5",1.0326928435785e-48,1.51143025497954,0.731,0.395,1.42604554769755e-44,"Granulocytes 7","Slfn4"
"Psmb9.4",2.37177149813388e-48,1.32188419275487,0.466,0.142,3.27517926177307e-44,"Granulocytes 7","Psmb9"
"Cmpk2.4",1.177231937296e-47,1.13924969970361,0.226,0.016,1.62563958221205e-43,"Granulocytes 7","Cmpk2"
"9930111J21Rik2.4",4.35393376653826e-47,1.08952557899382,0.35,0.061,6.01234713821269e-43,"Granulocytes 7","9930111J21Rik2"
"Dtx3l.5",4.57053753277348e-47,1.06059672378044,0.385,0.074,6.31145527900689e-43,"Granulocytes 7","Dtx3l"
"Trim30b.4",7.78751453591419e-47,1.25291225909505,0.601,0.246,1.07537788226439e-42,"Granulocytes 7","Trim30b"
"Tap1.3",1.56724713294288e-46,1.0852357591566,0.417,0.103,2.16421156588082e-42,"Granulocytes 7","Tap1"
"Igtp.4",4.13788358503488e-46,1.07219561594557,0.293,0.036,5.71400344257467e-42,"Granulocytes 7","Igtp"
"Cxcl10.3",4.86028580282038e-45,3.22337674531786,0.276,0.047,6.71156866511466e-41,"Granulocytes 7","Cxcl10"
"H2-T23.6",5.16680134487145e-45,1.14635225869156,0.618,0.334,7.13483597713299e-41,"Granulocytes 7","H2-T23"
"Nmi.4",1.08679346045437e-44,0.928727563813709,0.35,0.059,1.50075308954144e-40,"Granulocytes 7","Nmi"
"Lsp1.6",4.15503362175404e-43,1.25083307412351,0.64,0.306,5.73768592828016e-39,"Granulocytes 7","Lsp1"
"Sp100.5",7.28636399531331e-43,1.03091555750431,0.509,0.161,1.00617400411282e-38,"Granulocytes 7","Sp100"
"Bst2.5",1.33790148854969e-42,1.25431079571674,0.428,0.113,1.84750816553827e-38,"Granulocytes 7","Bst2"
"Il1r2.6",4.58027076284295e-42,1.32108479464987,0.7,0.34,6.32489589640983e-38,"Granulocytes 7","Il1r2"
"Epsti1.4",5.91033079246116e-41,0.953455813582099,0.304,0.052,8.16157579130962e-37,"Granulocytes 7","Epsti1"
"Ddx58.3",9.21664914271973e-41,1.11017426450062,0.371,0.091,1.27272708011817e-36,"Granulocytes 7","Ddx58"
"Stat2.2",3.86998449314517e-40,0.943810717813767,0.3,0.047,5.34406158658417e-36,"Granulocytes 7","Stat2"
"Clec2d.4",4.02056282144356e-40,1.16777962816708,0.753,0.435,5.55199520013142e-36,"Granulocytes 7","Clec2d"
"Ly6i.5",4.29789585529683e-40,1.76531160105041,0.463,0.184,5.9349643865794e-36,"Granulocytes 7","Ly6i"
"Mmp9.5",2.45876780485197e-36,1.3393170135177,0.675,0.383,3.39531246172008e-32,"Granulocytes 7","Mmp9"
"Rnf213.4",6.6972944054504e-36,1.03001237693358,0.357,0.088,9.24829384448646e-32,"Granulocytes 7","Rnf213"
"Trafd1.4",1.36268847271311e-35,0.89671283129948,0.325,0.081,1.88173651196954e-31,"Granulocytes 7","Trafd1"
"Ifi211.4",4.65877197811566e-35,0.879823202702572,0.216,0.026,6.43329822457991e-31,"Granulocytes 7","Ifi211"
"Irgm2.3",7.41846801738405e-35,0.746241275874673,0.23,0.028,1.02441624852056e-30,"Granulocytes 7","Irgm2"
"Ctss.5",8.80331515695722e-35,1.1017537286539,0.558,0.243,1.21564979002422e-30,"Granulocytes 7","Ctss"
"Selplg.6",2.58996398440698e-34,1.085207602161,0.682,0.414,3.57648126606761e-30,"Granulocytes 7","Selplg"
"Ifi207.4",4.85754174102788e-34,1.23866536201801,0.322,0.082,6.70777939018541e-30,"Granulocytes 7","Ifi207"
"Fth1.6",5.81486506570719e-34,-0.542552186009432,1,1,8.02974716923506e-30,"Granulocytes 7","Fth1"
"Olfr56.2",8.24422641399595e-32,0.610642118135919,0.12,0.004,1.1384452255087e-27,"Granulocytes 7","Olfr56"
"Tspo.6",1.10236928856876e-31,0.9611981708846,0.827,0.635,1.5222617505846e-27,"Granulocytes 7","Tspo"
"Psme1.5",1.28802029925715e-31,1.06289482361149,0.456,0.195,1.7786272312442e-27,"Granulocytes 7","Psme1"
"Tgfbi.6",3.86046641019036e-31,1.17432876085915,0.498,0.216,5.33091806583187e-27,"Granulocytes 7","Tgfbi"
"Ifitm6.5",5.00207293603386e-31,1.11881044906339,0.417,0.132,6.90736251736916e-27,"Granulocytes 7","Ifitm6"
"Ifi27l2a.6",5.36209487222101e-31,1.9835067394991,0.466,0.241,7.40451680904999e-27,"Granulocytes 7","Ifi27l2a"
"H2-K1.5",5.8302365980893e-31,0.955205888969459,0.866,0.692,8.05097371830152e-27,"Granulocytes 7","H2-K1"
"Stk17b.5",1.9096135661889e-30,1.15525492753928,0.495,0.239,2.63698537355025e-26,"Granulocytes 7","Stk17b"
"Ifitm1.6",2.5322164632451e-30,1.38475970048764,0.919,0.777,3.49673771409516e-26,"Granulocytes 7","Ifitm1"
"Psme2.4",2.55996553138892e-30,1.09984791262857,0.523,0.288,3.53505640229496e-26,"Granulocytes 7","Psme2"
"Tapbp.5",9.45730903221326e-30,0.93868064086587,0.594,0.349,1.30595980425833e-25,"Granulocytes 7","Tapbp"
"Nfam1.5",1.04536879042733e-29,1.09050280673831,0.438,0.185,1.4435497627011e-25,"Granulocytes 7","Nfam1"
"Irf9.4",1.11856920836725e-29,0.856223014376403,0.396,0.133,1.54463221983434e-25,"Granulocytes 7","Irf9"
"Steap4.4",1.25660711241125e-29,1.1678652607661,0.332,0.114,1.73524876152869e-25,"Granulocytes 7","Steap4"
"Gm5150.5",2.87678090581008e-29,1.00723130060658,0.36,0.129,3.97254675283314e-25,"Granulocytes 7","Gm5150"
"Txnip.5",2.99549849175914e-29,1.11021469529413,0.647,0.379,4.13648386727019e-25,"Granulocytes 7","Txnip"
"Il18bp.3",1.63996705385088e-28,0.697340934021609,0.237,0.04,2.26463050466268e-24,"Granulocytes 7","Il18bp"
"Igfbp6.6",2.67452388290575e-28,1.23828805285737,0.562,0.317,3.69325002990455e-24,"Granulocytes 7","Igfbp6"
"Tyrobp.5",2.77738534505242e-28,0.596153008991712,1,0.977,3.83529142298288e-24,"Granulocytes 7","Tyrobp"
"Ogfrl1.4",2.28034513651164e-27,0.912944140692171,0.442,0.185,3.14892859900892e-23,"Granulocytes 7","Ogfrl1"
"Plac8.5",3.15638008145776e-27,1.52530900125708,0.403,0.154,4.35864525448503e-23,"Granulocytes 7","Plac8"
"1600014C10Rik.5",4.6975351146662e-26,0.80101315329354,0.293,0.081,6.48682623984255e-22,"Granulocytes 7","1600014C10Rik"
"Cst3.5",7.81889301064061e-26,0.939966850817022,0.717,0.472,1.07971093583936e-21,"Granulocytes 7","Cst3"
"Ifi35.4",1.17996414443029e-25,0.843289697137962,0.325,0.102,1.62941248704379e-21,"Granulocytes 7","Ifi35"
"Lgals9.4",1.30419046482445e-25,0.817555320643891,0.357,0.138,1.80095661287609e-21,"Granulocytes 7","Lgals9"
"H2-T22.4",1.45641603365805e-25,0.936608194211471,0.307,0.101,2.0111649008784e-21,"Granulocytes 7","H2-T22"
"Sirpb1b.6",1.96273441762695e-25,0.842254295779216,0.413,0.169,2.71033995730105e-21,"Granulocytes 7","Sirpb1b"
"Eif2ak2.4",4.24763952040537e-25,0.710878327617386,0.286,0.08,5.86556541372777e-21,"Granulocytes 7","Eif2ak2"
"Sppl2a.4",5.05324782034206e-25,0.873726586483112,0.502,0.234,6.97802991511035e-21,"Granulocytes 7","Sppl2a"
"Tor1aip1.4",1.32045676122974e-24,0.853378958686422,0.42,0.178,1.82341874158214e-20,"Granulocytes 7","Tor1aip1"
"Sorl1.6",2.66596772309087e-24,0.836439168543654,0.686,0.46,3.68143482881618e-20,"Granulocytes 7","Sorl1"
"Ifitm2.6",3.77553522688188e-24,0.907850254520851,0.919,0.835,5.21363659480119e-20,"Granulocytes 7","Ifitm2"
"Tent5a.4",4.5348325717805e-24,0.771490388588404,0.276,0.069,6.26215029837169e-20,"Granulocytes 7","Tent5a"
"Ifi209.3",6.60596328327051e-24,0.762644299790721,0.152,0.018,9.12217469786825e-20,"Granulocytes 7","Ifi209"
"Cd300ld.5",6.80325312052261e-24,0.908208800854339,0.537,0.28,9.39461223412967e-20,"Granulocytes 7","Cd300ld"
"Arhgap45.4",9.62503863556135e-24,0.846195858889593,0.346,0.136,1.32912158518467e-19,"Granulocytes 7","Arhgap45"
"Rgs2.5",2.59870936212772e-23,1.06673151613892,0.399,0.167,3.58855775816216e-19,"Granulocytes 7","Rgs2"
"C5ar1.6",3.84012440856303e-23,0.822459467187203,0.682,0.429,5.30282779578469e-19,"Granulocytes 7","C5ar1"
"Irf2.5",5.05157727538826e-23,0.802395234705719,0.608,0.353,6.97572305958365e-19,"Granulocytes 7","Irf2"
"Pilra.6",2.53078156587267e-22,0.838737239481923,0.59,0.365,3.49475626431357e-18,"Granulocytes 7","Pilra"
"Gbp9.4",2.73539902355559e-22,0.49500323872146,0.134,0.014,3.77731251162791e-18,"Granulocytes 7","Gbp9"
"Fam129a.4",3.11579595384478e-22,0.697480358269493,0.177,0.045,4.30260263266425e-18,"Granulocytes 7","Fam129a"
"Myd88.4",4.40695696912218e-22,0.701859969617443,0.375,0.145,6.08556687866081e-18,"Granulocytes 7","Myd88"
"Uba7.3",4.48996824540464e-22,0.507508816836876,0.159,0.022,6.20019715007927e-18,"Granulocytes 7","Uba7"
"Ifih1.4",5.16848434539616e-22,0.571201024137231,0.208,0.043,7.13716003255755e-18,"Granulocytes 7","Ifih1"
"Ptprc.5",5.39213434761723e-22,0.617354907590339,0.922,0.766,7.44599832062463e-18,"Granulocytes 7","Ptprc"
"Slfn9.1",8.70878141094798e-22,0.440592598076272,0.11,0.008,1.20259562503781e-17,"Granulocytes 7","Slfn9"
"Pnp.5",1.55940903298568e-21,0.89938887245663,0.491,0.295,2.15338793364993e-17,"Granulocytes 7","Pnp"
"2310001H17Rik.5",1.61339945717748e-21,0.786984653124373,0.721,0.473,2.22794331041638e-17,"Granulocytes 7","2310001H17Rik"
"Tnfaip2.6",1.721170276523e-21,0.889642606349994,0.866,0.707,2.37676403485061e-17,"Granulocytes 7","Tnfaip2"
"Shisa5.6",3.4982378865268e-21,0.813764823773713,0.484,0.264,4.83071669750486e-17,"Granulocytes 7","Shisa5"
"Oas1a.4",3.89568741600202e-21,0.608921973360116,0.208,0.047,5.37955475275719e-17,"Granulocytes 7","Oas1a"
"Oas2.4",4.14911651616067e-21,0.570411084678162,0.219,0.051,5.72951499716627e-17,"Granulocytes 7","Oas2"
"Ccr1.6",5.3877692938792e-21,0.736976162047243,0.848,0.692,7.43997061791778e-17,"Granulocytes 7","Ccr1"
"Tap2.5",7.98846799490138e-21,0.723246436267291,0.293,0.1,1.10312754541593e-16,"Granulocytes 7","Tap2"
"H2-Q10.3",1.2990780514609e-20,0.908496474913944,0.491,0.25,1.79389688126236e-16,"Granulocytes 7","H2-Q10"
"Celf2.6",1.4074098070706e-20,0.782625861474244,0.406,0.182,1.94349220258379e-16,"Granulocytes 7","Celf2"
"Parp12.2",1.80621947609834e-20,0.442704186496131,0.152,0.022,2.49420847454419e-16,"Granulocytes 7","Parp12"
"Psmb10.5",2.91853812957773e-20,0.654298956617601,0.208,0.046,4.03020930313389e-16,"Granulocytes 7","Psmb10"
"Itm2b.6",5.18687585921543e-20,0.659459803559364,0.866,0.676,7.16255687399059e-16,"Granulocytes 7","Itm2b"
"Gda.6",5.24543596368096e-20,0.792661377625474,0.661,0.446,7.24342252224704e-16,"Granulocytes 7","Gda"
"Coro1a.6",5.85751527997046e-20,0.794577909980072,0.728,0.556,8.08864285011121e-16,"Granulocytes 7","Coro1a"
"Trim30c.2",7.05932038885042e-20,0.336756303527187,0.088,0.004,9.74821552496354e-16,"Granulocytes 7","Trim30c"
"D1Ertd622e.4",7.3171457564759e-20,0.79408156733268,0.251,0.076,1.01042465751176e-15,"Granulocytes 7","D1Ertd622e"
"Fos.4",8.19742132624361e-20,1.05048207246154,0.424,0.273,1.13198191094098e-15,"Granulocytes 7","Fos"
"Tnfrsf1a.5",1.31590920277255e-19,0.745234546642759,0.445,0.229,1.81713901810862e-15,"Granulocytes 7","Tnfrsf1a"
"Ifi208.2",1.82728376832707e-19,0.316091497116398,0.081,0.003,2.52329615568285e-15,"Granulocytes 7","Ifi208"
"Sirpb1c.5",1.90134218186154e-19,0.79117983517692,0.343,0.16,2.62556341893261e-15,"Granulocytes 7","Sirpb1c"
"Parp10.4",2.68687847807692e-19,0.60889201873189,0.286,0.092,3.71031049037642e-15,"Granulocytes 7","Parp10"
"Fxyd5.5",2.73695378310951e-19,0.604154274946159,0.965,0.903,3.77945947909592e-15,"Granulocytes 7","Fxyd5"
"Ccnd2.4",2.97003713998528e-19,0.708092320812301,0.219,0.057,4.10132428660568e-15,"Granulocytes 7","Ccnd2"
"Ssh2.4",3.96328301519252e-19,0.798820101871277,0.311,0.127,5.47289751567935e-15,"Granulocytes 7","Ssh2"
"Slfn2.5",4.35590077568737e-19,0.643755543010223,0.919,0.791,6.01506338114669e-15,"Granulocytes 7","Slfn2"
"Ltb.6",5.198515231802e-19,0.819294225408942,0.452,0.217,7.17862968359539e-15,"Granulocytes 7","Ltb"
"Parp9.4",5.47771299186413e-19,0.600664889977905,0.237,0.066,7.56417387046518e-15,"Granulocytes 7","Parp9"
"Il4ra.5",1.00539992346735e-18,0.835580454224712,0.353,0.173,1.38835675431606e-14,"Granulocytes 7","Il4ra"
"Gm20559.4",1.21734394266076e-18,0.705488759452486,0.343,0.147,1.68103025042025e-14,"Granulocytes 7","Gm20559"
"Nlrc5.2",2.20172959650928e-18,0.527506162720573,0.198,0.044,3.04036839981967e-14,"Granulocytes 7","Nlrc5"
"Marcks.6",2.70200624997381e-18,0.696437482736905,0.852,0.711,3.73120043058883e-14,"Granulocytes 7","Marcks"
"Pilrb2.5",3.18758067351424e-18,0.651114057359045,0.314,0.125,4.40173015205581e-14,"Granulocytes 7","Pilrb2"
"Ogfr.4",3.79263337803151e-18,0.587911473404469,0.244,0.078,5.23724743172371e-14,"Granulocytes 7","Ogfr"
"H2-Q4.5",3.94743982428033e-18,0.736765273963883,0.35,0.149,5.45101965334871e-14,"Granulocytes 7","H2-Q4"
"Znfx1.4",4.6848319845763e-18,0.600265243120826,0.226,0.071,6.46928448750141e-14,"Granulocytes 7","Znfx1"
"S100a11.6",5.0316863266914e-18,0.841445032778767,0.951,0.91,6.94825564852816e-14,"Granulocytes 7","S100a11"
"Timm10b.4",5.72577391431272e-18,0.800778047846747,0.488,0.297,7.90672119827443e-14,"Granulocytes 7","Timm10b"
"Lcp1.5",6.87164694765602e-18,0.590287308860439,0.919,0.793,9.4890572700182e-14,"Granulocytes 7","Lcp1"
"Ldha.5",8.01281723556072e-18,-0.577850465537475,0.869,0.928,1.10648993205858e-13,"Granulocytes 7","Ldha"
"Dhrs7.5",8.02339239315899e-18,0.756152194297952,0.396,0.196,1.10795025557133e-13,"Granulocytes 7","Dhrs7"
"Tspan13.6",9.09392176644603e-18,0.673374353666635,0.23,0.069,1.25577965672853e-13,"Granulocytes 7","Tspan13"
"Gmfg.6",1.26666979695488e-17,0.616023748790949,0.781,0.62,1.74914432261499e-13,"Granulocytes 7","Gmfg"
"Cytip.4",1.45277441951828e-17,0.803034574513874,0.314,0.143,2.00613619591279e-13,"Granulocytes 7","Cytip"
"Btg2.5",1.68977135147493e-17,0.765587874823928,0.724,0.532,2.33340525925172e-13,"Granulocytes 7","Btg2"
"Ifit1bl2.2",1.70783535290495e-17,0.58163290704375,0.12,0.015,2.35834983882645e-13,"Granulocytes 7","Ifit1bl2"
"Hrh2.3",2.19678912233567e-17,0.478494515528447,0.155,0.032,3.03354609903332e-13,"Granulocytes 7","Hrh2"
"Rasgrp4.5",2.42066821720799e-17,0.553701306463379,0.261,0.086,3.34270074114251e-13,"Granulocytes 7","Rasgrp4"
"Themis2.6",2.4729830519831e-17,0.655595056384228,0.382,0.179,3.41494229648346e-13,"Granulocytes 7","Themis2"
"Emb.5",3.05348569594228e-17,0.827390371294587,0.431,0.231,4.2165583975267e-13,"Granulocytes 7","Emb"
"Fcgr4.6",3.35368240918327e-17,0.741718690105255,0.367,0.176,4.63110003884118e-13,"Granulocytes 7","Fcgr4"
