"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccl3.3",0,2.34018135772604,0.984,0.787,0,"Granulocytes 4","Ccl3"
"Ccl4.3",1.44745569573277e-246,2.69374839494573,0.87,0.602,1.99879157023738e-242,"Granulocytes 4","Ccl4"
"Cxcl2.3",6.44534310334303e-201,1.76422175703604,0.999,0.945,8.90037429140639e-197,"Granulocytes 4","Cxcl2"
"Tnf.3",3.75896298396271e-193,2.42428320031278,0.773,0.417,5.19075198455411e-189,"Granulocytes 4","Tnf"
"Ccrl2.2",2.7361875552924e-155,1.43834047978405,0.944,0.686,3.77840139510327e-151,"Granulocytes 4","Ccrl2"
"Tnfaip3.3",1.64081242623219e-134,1.54224754489458,0.769,0.459,2.26579787938404e-130,"Granulocytes 4","Tnfaip3"
"Il1a.3",2.03663928343735e-134,1.85611271157762,0.698,0.319,2.81239518649864e-130,"Granulocytes 4","Il1a"
"Nfkbia.3",1.21405013866775e-131,1.21672046648021,0.991,0.908,1.67648183648629e-127,"Granulocytes 4","Nfkbia"
"Nfkbiz.3",2.63087018205601e-116,1.37627868622138,0.767,0.49,3.63296863440114e-112,"Granulocytes 4","Nfkbiz"
"Clec4e.2",1.26401882326428e-115,1.13073313324438,0.978,0.898,1.74548359304564e-111,"Granulocytes 4","Clec4e"
"Il1rn.3",1.46659360129478e-109,1.09343385492526,0.966,0.827,2.02521910402796e-105,"Granulocytes 4","Il1rn"
"Ptgs2.3",9.89194448428221e-105,1.51269175746263,0.822,0.5,1.36597861383453e-100,"Granulocytes 4","Ptgs2"
"Fxyd5.3",3.54245031838269e-101,-0.970683297090451,0.776,0.929,4.89176964465465e-97,"Granulocytes 4","Fxyd5"
"Hcar2.3",6.78261353548325e-99,1.11634929072394,0.898,0.672,9.36611103114882e-95,"Granulocytes 4","Hcar2"
"Nlrp3.3",4.53473497576089e-98,1.1849777165165,0.786,0.48,6.26201552802822e-94,"Granulocytes 4","Nlrp3"
"Gadd45b.3",2.58798195837932e-76,0.960891578012638,0.941,0.822,3.573744286326e-72,"Granulocytes 4","Gadd45b"
"Traf1.3",6.56894370102952e-71,1.23622732600191,0.616,0.38,9.07105435675167e-67,"Granulocytes 4","Traf1"
"Actb.3",1.63198725063615e-68,-1.09983727721878,0.874,0.951,2.25361119440346e-64,"Granulocytes 4","Actb"
"Cflar.3",1.1803929533007e-66,0.846964759997822,0.771,0.573,1.63000462921294e-62,"Granulocytes 4","Cflar"
"Cxcl3.3",1.87895293681884e-66,1.4593570055178,0.762,0.529,2.59464611045314e-62,"Granulocytes 4","Cxcl3"
"Zeb2.3",2.53199245493923e-65,0.867494819572298,0.847,0.637,3.49642838102559e-61,"Granulocytes 4","Zeb2"
"Acod1.3",4.19400758372685e-64,0.790634290547261,0.926,0.737,5.79150507236841e-60,"Granulocytes 4","Acod1"
"Hilpda.3",2.32644039517396e-63,0.919496395487974,0.938,0.819,3.21258154169572e-59,"Granulocytes 4","Hilpda"
"Rab11fip1.3",8.7215526875768e-59,0.8375739466614,0.688,0.435,1.20435921062748e-54,"Granulocytes 4","Rab11fip1"
"Sod2.3",1.73636953188425e-57,0.698547744569715,0.914,0.78,2.39775268657896e-53,"Granulocytes 4","Sod2"
"Rps27a.3",9.28562590573278e-56,-0.853510373979381,0.702,0.853,1.28225208132264e-51,"Granulocytes 4","Rps27a"
"Lcn2.3",1.10719834152281e-55,0.802897177315391,0.965,0.921,1.52893018980884e-51,"Granulocytes 4","Lcn2"
"Cd52.3",1.36908789502878e-55,-0.979580638718399,0.791,0.88,1.89057347424524e-51,"Granulocytes 4","Cd52"
"S100a11.3",7.19838517436849e-55,-1.25190800950979,0.853,0.922,9.94025008728544e-51,"Granulocytes 4","S100a11"
