"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AW112010.9",4.28160899025667e-164,4.34144545274865,1,0.316,7.17383586317504e-160,"ILC/NK","AW112010"
"Gzma.8",1.67756906437461e-158,6.39822380796862,0.926,0.009,2.81076696735965e-154,"ILC/NK","Gzma"
"Klre1.9",1.02114221540105e-154,3.51546985637992,0.958,0.016,1.71092378190445e-150,"ILC/NK","Klre1"
"Nkg7.9",6.00792074061266e-140,4.46862754338759,0.989,0.037,1.00662712008965e-135,"ILC/NK","Nkg7"
"Ncr1.7",5.50603235500426e-137,2.80498656802917,0.789,0.001,9.22535721080963e-133,"ILC/NK","Ncr1"
"Klrk1.8",2.02798147153559e-135,3.3102237107403,0.937,0.059,3.39788295555788e-131,"ILC/NK","Klrk1"
"Klrb1c.9",9.4296273420916e-125,2.89188041339551,0.789,0.006,1.57993406116745e-120,"ILC/NK","Klrb1c"
"Ctsw.9",2.95903313510975e-115,2.86703893677606,0.905,0.029,4.95786001787639e-111,"ILC/NK","Ctsw"
"Il2rb.9",3.70061262365036e-110,2.86518869674288,0.863,0.036,6.20037645092618e-106,"ILC/NK","Il2rb"
"Ccl5.8",8.93589189927765e-105,4.52567576112727,0.968,0.106,1.49720868772397e-100,"ILC/NK","Ccl5"
"Txk.9",1.75149269018519e-104,2.67573788816529,0.842,0.028,2.93462600240528e-100,"ILC/NK","Txk"
"Ms4a4b.9",5.12458120529518e-99,3.31930650527826,0.968,0.102,8.58623580947208e-95,"ILC/NK","Ms4a4b"
"Klrd1.9",6.09893437729688e-99,3.10399962081329,0.958,0.083,1.02187645491609e-94,"ILC/NK","Klrd1"
"Gzmb.9",7.08709175657498e-95,3.47731037099081,0.726,0.014,1.18744222381414e-90,"ILC/NK","Gzmb"
"Gimap4.9",2.7022228160314e-93,2.51927057908619,0.895,0.049,4.52757432826062e-89,"ILC/NK","Gimap4"
"Ctla2a.9",3.29468659599125e-91,3.43459778370531,0.832,0.067,5.52024739158334e-87,"ILC/NK","Ctla2a"
"Ugcg.6",2.95344610251542e-88,2.24491514715713,0.8,0.151,4.94849894476458e-84,"ILC/NK","Ugcg"
"Prf1.8",2.93896146454575e-87,2.4745972686019,0.611,0.007,4.9242299338464e-83,"ILC/NK","Prf1"
"Xcl1.8",6.36711521292635e-83,4.08659447319894,0.632,0.01,1.06681015392581e-78,"ILC/NK","Xcl1"
"Klri2.7",1.93198229869757e-79,1.88389034135397,0.537,0.006,3.23703634146779e-75,"ILC/NK","Klri2"
"Trbc1.9",2.46485600384591e-78,1.78186311374674,0.747,0.04,4.12986623444382e-74,"ILC/NK","Trbc1"
"Serpinb6b.9",5.98783578503451e-74,2.28656287418154,0.642,0.018,1.00326188578253e-69,"ILC/NK","Serpinb6b"
"Klra8.6",7.7467535247979e-73,2.31688907342089,0.442,0,1.29796855307989e-68,"ILC/NK","Klra8"
"Klrc2.8",1.2246418368642e-72,1.7599399093853,0.547,0.007,2.05188739766597e-68,"ILC/NK","Klrc2"
"Gimap5.9",1.05364716322564e-71,1.98593821665581,0.726,0.039,1.76538582198456e-67,"ILC/NK","Gimap5"
"Klra4.5",2.14833846567667e-66,2.79964867949562,0.389,0,3.59954109924126e-62,"ILC/NK","Klra4"
"Car2.6",4.18765202180914e-65,1.86063155347994,0.526,0.01,7.01641096254121e-61,"ILC/NK","Car2"
"Ptprcap.9",5.44943271192888e-64,2.31014587848897,0.832,0.089,9.13052450883683e-60,"ILC/NK","Ptprcap"
"Gimap1.9",3.7481290106576e-63,2.12989304941803,0.811,0.09,6.2799901573568e-59,"ILC/NK","Gimap1"
"Eomes.8",1.87675663689186e-62,1.36016450480824,0.432,0.003,3.14450574511231e-58,"ILC/NK","Eomes"
"Sept1.9",2.49878853269006e-62,2.01799172876319,0.768,0.073,4.1867201865222e-58,"ILC/NK","Sept1"
"Klra7.8",2.5814687115479e-62,2.40819049688943,0.484,0.007,4.3252508261985e-58,"ILC/NK","Klra7"
"Sh2d1a.9",2.78672362749691e-62,1.81153735397815,0.632,0.029,4.66915543787108e-58,"ILC/NK","Sh2d1a"
"Klra9.4",5.81059770465976e-61,2.1241360366152,0.379,0,9.73565645415744e-57,"ILC/NK","Klra9"
"Gm19585.9",4.89421652901304e-60,1.85369564415273,0.558,0.02,8.20025979436134e-56,"ILC/NK","Gm19585"
"Klrb1f.6",2.80163403660147e-59,1.4918645404842,0.442,0.007,4.69413782832576e-55,"ILC/NK","Klrb1f"
"Sh2d2a.9",7.58976844864718e-59,1.63135585787848,0.589,0.025,1.27166570357084e-54,"ILC/NK","Sh2d2a"
"Klrb1a.5",1.96581568594085e-58,1.26398211204028,0.368,0,3.2937241817939e-54,"ILC/NK","Klrb1a"
"Ctsz.8",3.40450858510904e-56,-3.3932232126693,0.2,0.855,5.70425413435019e-52,"ILC/NK","Ctsz"
"Alox5ap.8",7.90056162529074e-55,-3.03311162396633,0.053,0.794,1.32373910031746e-50,"ILC/NK","Alox5ap"
"Gimap3.9",8.6990291693707e-55,1.92570354945536,0.695,0.058,1.45752233732806e-50,"ILC/NK","Gimap3"
