"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trbc2.7",0,4.0559390240044,0.949,0.013,0,"ILC/NKT/T/Tgd","Trbc2"
"Cd3d.7",0,3.68101177222908,0.956,0.008,0,"ILC/NKT/T/Tgd","Cd3d"
"Cd3g.7",0,3.57486434203742,0.93,0.004,0,"ILC/NKT/T/Tgd","Cd3g"
"Cd3e.7",0,2.77395250356497,0.879,0.002,0,"ILC/NKT/T/Tgd","Cd3e"
"Tyrobp.7",0,-3.9878661597709,0.235,0.971,0,"ILC/NKT/T/Tgd","Tyrobp"
"Fcer1g.7",6.97556379650907e-308,-3.63309068260668,0.298,0.968,1.1687557141051e-303,"ILC/NKT/T/Tgd","Fcer1g"
"Trac.7",3.21514686094841e-249,2.39995162720621,0.721,0.006,5.38697856551905e-245,"ILC/NKT/T/Tgd","Trac"
"Gimap3.7",5.55694724106793e-216,2.2489388564108,0.768,0.025,9.31066510240932e-212,"ILC/NKT/T/Tgd","Gimap3"
"Skap1.7",6.30973387513287e-216,1.9839908434926,0.739,0.019,1.05719591077851e-211,"ILC/NKT/T/Tgd","Skap1"
"Ms4a4b.7",1.74053885321553e-215,3.25766418894383,0.827,0.074,2.91627284856262e-211,"ILC/NKT/T/Tgd","Ms4a4b"
"Lat.7",3.66081838116909e-198,1.98257225768136,0.621,0.009,6.13370119764881e-194,"ILC/NKT/T/Tgd","Lat"
"Ptprcap.7",4.6494221739962e-191,2.43709782970794,0.812,0.057,7.79010685253063e-187,"ILC/NKT/T/Tgd","Ptprcap"
"Lck.7",3.08443203196677e-187,1.85653313592706,0.651,0.015,5.16796586956032e-183,"ILC/NKT/T/Tgd","Lck"
"Thy1.7",4.03473281292e-182,1.79344712735316,0.596,0.009,6.76019482804747e-178,"ILC/NKT/T/Tgd","Thy1"
"Cd2.7",9.8164925413153e-176,1.94263885850569,0.665,0.023,1.64475332529738e-171,"ILC/NKT/T/Tgd","Cd2"
"Bcl11b.7",5.82549462127743e-171,1.49990611791812,0.496,0.001,9.76061623795033e-167,"ILC/NKT/T/Tgd","Bcl11b"
"Rps27.5",8.46514623640976e-171,1.52256066836367,0.996,0.979,1.41833525191046e-166,"ILC/NKT/T/Tgd","Rps27"
"Ltb.7",1.88459058241242e-169,2.45616052562646,0.904,0.156,3.15763152083201e-165,"ILC/NKT/T/Tgd","Ltb"
"Trbc1.7",1.09611412537325e-160,3.03464159968273,0.585,0.021,1.83653921706288e-156,"ILC/NKT/T/Tgd","Trbc1"
"Rpl13a.7",1.68228814957945e-160,1.42531143386381,0.996,0.913,2.81867379462036e-156,"ILC/NKT/T/Tgd","Rpl13a"
"Alox5ap.6",1.75963446675821e-159,-3.04261820868303,0.066,0.825,2.94826754905338e-155,"ILC/NKT/T/Tgd","Alox5ap"
"Sept1.7",4.81306254147462e-157,1.86802173386939,0.699,0.048,8.06428628824073e-153,"ILC/NKT/T/Tgd","Sept1"
"Ctsz.6",5.21664453160831e-155,-3.17323932348344,0.25,0.88,8.74048791270973e-151,"ILC/NKT/T/Tgd","Ctsz"
"Rps13.7",1.10519831703637e-147,1.39644958472372,1,0.955,1.85175978019443e-143,"ILC/NKT/T/Tgd","Rps13"
"Rpl12.7",7.32787564406478e-147,1.68304430948148,0.989,0.849,1.22778556416305e-142,"ILC/NKT/T/Tgd","Rpl12"
"Spi1.7",5.0883855581646e-145,-2.35663086652385,0.048,0.79,8.52559000270479e-141,"ILC/NKT/T/Tgd","Spi1"
"Marcks.6",8.71731885190985e-145,-3.2946895605145,0.07,0.803,1.46058677363749e-140,"ILC/NKT/T/Tgd","Marcks"
"Gimap6.7",1.89733340357836e-141,1.88687509539599,0.647,0.043,3.17898211769554e-137,"ILC/NKT/T/Tgd","Gimap6"
"Gimap4.7",1.37566840436546e-139,2.13744454640601,0.603,0.031,2.30493241151433e-135,"ILC/NKT/T/Tgd","Gimap4"
"Gimap1.7",1.71465836608797e-137,1.91384423019554,0.695,0.066,2.8729100923804e-133,"ILC/NKT/T/Tgd","Gimap1"
"Tmsb10.7",1.31966853718473e-134,1.95379085525965,0.993,0.625,2.21110463405301e-130,"ILC/NKT/T/Tgd","Tmsb10"
"Rps15a.7",2.724885156119e-134,1.48073496010857,0.993,0.935,4.56554507907739e-130,"ILC/NKT/T/Tgd","Rps15a"
"Ctsb.7",1.03173858988474e-133,-2.95400888996888,0.371,0.897,1.72867800735189e-129,"ILC/NKT/T/Tgd","Ctsb"
"Ctss.7",5.2666184552069e-133,-3.46171989698877,0.515,0.859,8.82421922169916e-129,"ILC/NKT/T/Tgd","Ctss"
"Il2rb.7",5.87429094481892e-132,1.40641531397951,0.522,0.023,9.8423744780441e-128,"ILC/NKT/T/Tgd","Il2rb"
"Cd68.7",1.22210982758989e-129,-2.47827280331768,0.059,0.76,2.04764501612687e-125,"ILC/NKT/T/Tgd","Cd68"
"Cxcr6.7",2.67726341565332e-129,2.01782658224759,0.397,0.002,4.48575485292714e-125,"ILC/NKT/T/Tgd","Cxcr6"
"Ftl1.7",3.87876315710769e-129,-2.95806197485039,0.949,0.992,6.49886766973394e-125,"ILC/NKT/T/Tgd","Ftl1"
"H2-Q7.7",1.90251755292882e-128,2.12379070139958,0.864,0.229,3.18766815993223e-124,"ILC/NKT/T/Tgd","H2-Q7"
