"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2ry12.1",0,2.99117118946725,0.995,0.259,0,"Microglia 1","P2ry12"
"Cx3cr1.1",0,2.86403336993457,1,0.456,0,"Microglia 1","Cx3cr1"
"Gpr34.1",0,2.74762234215962,0.997,0.241,0,"Microglia 1","Gpr34"
"Siglech.1",0,2.49160886812836,0.982,0.201,0,"Microglia 1","Siglech"
"Cst3.1",0,2.47834254058951,1,0.909,0,"Microglia 1","Cst3"
"Sparc.1",0,2.41209780195768,0.998,0.283,0,"Microglia 1","Sparc"
"Rhob.1",0,2.36185139425255,0.967,0.281,0,"Microglia 1","Rhob"
"Arhgap5.1",0,2.31860937165839,0.948,0.222,0,"Microglia 1","Arhgap5"
"Hexb.1",0,2.31399227870475,1,0.567,0,"Microglia 1","Hexb"
"Tmem119.1",0,2.26793551016782,0.972,0.263,0,"Microglia 1","Tmem119"
"Zfhx3.1",0,2.20351117638341,0.92,0.228,0,"Microglia 1","Zfhx3"
"Kctd12.1",0,2.16175332008808,0.978,0.437,0,"Microglia 1","Kctd12"
"Tgfbr1.1",0,2.15615492301807,0.958,0.31,0,"Microglia 1","Tgfbr1"
"Csf1r.1",0,2.11491774498929,1,0.613,0,"Microglia 1","Csf1r"
"Tanc2.1",0,2.09657767878928,0.872,0.123,0,"Microglia 1","Tanc2"
"Serinc3.1",0,2.04600361843694,1,0.679,0,"Microglia 1","Serinc3"
"Epb41l2.1",0,2.03883519407174,0.95,0.388,0,"Microglia 1","Epb41l2"
"Qk.1",0,1.9527990572764,0.98,0.477,0,"Microglia 1","Qk"
"Selplg.1",0,1.86084739469564,0.998,0.657,0,"Microglia 1","Selplg"
"Maf.1",5.78056805634258e-322,2.14402259365674,0.953,0.319,9.685341778402e-318,"Microglia 1","Maf"
"Mef2c.1",2.10217956098531e-316,2.05242359310837,0.972,0.339,3.52220185443089e-312,"Microglia 1","Mef2c"
"Plxdc2.1",2.62254139890955e-312,2.04622457089599,0.887,0.162,4.39406811387296e-308,"Microglia 1","Plxdc2"
"Srgap2.1",2.94653330771617e-307,1.94112105879659,0.893,0.224,4.93691655707844e-303,"Microglia 1","Srgap2"
"Marcks.1",3.42825210846777e-305,1.79013997583164,1,0.718,5.74403640773775e-301,"Microglia 1","Marcks"
"Hpgds.1",1.22363270795013e-304,2.04291900500718,0.93,0.23,2.05019660217045e-300,"Microglia 1","Hpgds"
"Olfml3.1",2.45732860605457e-300,1.95794704473236,0.995,0.296,4.11725407944444e-296,"Microglia 1","Olfml3"
"Slco2b1.1",3.23389514740652e-279,1.8480433723703,0.837,0.141,5.41839131947962e-275,"Microglia 1","Slco2b1"
"Scoc.1",8.964877717568e-278,1.9339316783609,0.918,0.248,1.50206526157852e-273,"Microglia 1","Scoc"
"Hpgd.1",6.88104714060075e-277,2.05220935214638,0.837,0.15,1.15291944840766e-272,"Microglia 1","Hpgd"
"Mef2a.1",1.69693740339174e-272,1.69573070681618,0.957,0.461,2.84321861938286e-268,"Microglia 1","Mef2a"
"Cd81.1",1.76141291946396e-272,1.7752310071177,0.997,0.375,2.95124734656186e-268,"Microglia 1","Cd81"
"Mertk.1",1.88186453926991e-267,1.91341902245482,0.815,0.146,3.15306403554673e-263,"Microglia 1","Mertk"
"Rgs10.1",3.625898408903e-263,1.68766089457476,0.99,0.574,6.07519278411698e-259,"Microglia 1","Rgs10"
"Lair1.1",4.02092506000774e-260,1.78925391770289,0.945,0.319,6.73705993804297e-256,"Microglia 1","Lair1"
"Trem2.1",2.57169619812229e-258,1.71275384923908,1,0.49,4.3088769799539e-254,"Microglia 1","Trem2"
"Selenop.1",9.94940637377072e-258,1.74026895561329,0.982,0.441,1.66702303792528e-253,"Microglia 1","Selenop"
"Pmepa1.1",3.66037940493577e-256,1.95782202533876,0.9,0.285,6.13296569296989e-252,"Microglia 1","Pmepa1"
"C1qc.1",1.31164819976237e-250,1.71396626893808,1,0.447,2.19766655870185e-246,"Microglia 1","C1qc"
"Cfh.1",2.79737431776118e-249,1.80719601836254,0.877,0.229,4.68700066940885e-245,"Microglia 1","Cfh"
