"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Malat1.2",0,-3.23786078509526,0.383,0.99,0,"Microglia 2","Malat1"
"Stmn1.2",6.62015995691345e-240,2.47736209763132,0.701,0.095,1.10920780078085e-235,"Microglia 2","Stmn1"
"Btg1.2",1.61479937208987e-215,-2.36799119476693,0.41,0.918,2.70559634793658e-211,"Microglia 2","Btg1"
"Sparc.2",1.90230229565232e-184,-0.0680500216809974,0.787,0.326,3.18730749636547e-180,"Microglia 2","Sparc"
"Ppia.2",2.22674402439926e-170,1.14418630851856,0.996,0.901,3.73090961288096e-166,"Microglia 2","Ppia"
"Tuba1b.2",2.68412850445543e-167,1.5513235992129,0.801,0.456,4.49725730921507e-163,"Microglia 2","Tuba1b"
"Cd63.2",3.00077171512287e-165,1.79905439385261,0.95,0.536,5.02779300868837e-161,"Microglia 2","Cd63"
"Mt1.2",8.15866402075396e-158,2.22732481452405,0.839,0.405,1.36698415667733e-153,"Microglia 2","Mt1"
"C1qa.2",1.99461157002931e-156,1.40251713645394,0.966,0.445,3.34197168558411e-152,"Microglia 2","C1qa"
"Ckb.2",3.30810985529051e-155,1.52097701592442,0.9,0.37,5.54273806253925e-151,"Microglia 2","Ckb"
"Fcrls.2",3.98372235316251e-155,1.65068250381615,0.902,0.333,6.67472680272379e-151,"Microglia 2","Fcrls"
"Syngr1.2",2.38677803425553e-151,1.612781491002,0.845,0.314,3.99904659639513e-147,"Microglia 2","Syngr1"
"Tubb5.2",3.01848759950248e-149,1.52672256111989,0.782,0.476,5.05747597296641e-145,"Microglia 2","Tubb5"
"C1qb.2",8.88404000031873e-149,1.36401058273799,0.973,0.51,1.4885209020534e-144,"Microglia 2","C1qb"
"C1qc.2",1.0034709631348e-148,1.21038614092365,0.971,0.462,1.68131559873235e-144,"Microglia 2","C1qc"
"Npl.2",1.29376247678791e-148,1.556601751878,0.577,0.108,2.16769902985814e-144,"Microglia 2","Npl"
"S100a11.2",1.32764935328011e-145,-3.46638148735942,0.155,0.668,2.22447649142082e-141,"Microglia 2","S100a11"
"Birc5.2",3.64918469157592e-142,1.56644321283396,0.362,0.014,6.11420895073545e-138,"Microglia 2","Birc5"
"Tmsb4x.1",7.41658862835851e-142,1.08686313526185,0.987,0.997,1.24264942468147e-137,"Microglia 2","Tmsb4x"
"Ran.2",3.10906563058748e-139,1.25325107522733,0.787,0.535,5.20923946404932e-135,"Microglia 2","Ran"
"S100a6.2",2.20834759297565e-138,-3.6921391950394,0.082,0.595,3.70008639203071e-134,"Microglia 2","S100a6"
"Fkbp2.2",8.86606177410542e-134,1.27889623127023,0.795,0.447,1.48550865025136e-129,"Microglia 2","Fkbp2"
"Cd81.2",1.89597803259209e-129,0.98772829760882,0.929,0.397,3.17671119360804e-125,"Microglia 2","Cd81"
"Atp5g1.2",7.13238735199334e-126,1.23715529385684,0.826,0.586,1.19503150082648e-121,"Microglia 2","Atp5g1"
"Ccl12.2",4.13920700992231e-125,2.00048377805584,0.741,0.231,6.93524134512483e-121,"Microglia 2","Ccl12"
"Ndufa4.2",4.49911740232321e-124,1.14556598211425,0.902,0.672,7.53827120759254e-120,"Microglia 2","Ndufa4"
"Ctsl.2",2.52848191800514e-123,1.46101713908465,0.952,0.602,4.23647145361761e-119,"Microglia 2","Ctsl"
"Ppp1r14b.2",3.90130317523846e-123,1.26030863198209,0.766,0.397,6.53663347011205e-119,"Microglia 2","Ppp1r14b"
"Aif1.2",4.0443915804428e-123,1.34515225944725,0.927,0.521,6.77637809303191e-119,"Microglia 2","Aif1"
"Atpif1.2",6.90560917079113e-122,1.22533831659542,0.887,0.603,1.15703481656605e-117,"Microglia 2","Atpif1"
"Cd72.2",2.16415340496236e-121,1.55288483489605,0.607,0.15,3.62603903001443e-117,"Microglia 2","Cd72"
