"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Apoe.8",1.15185706520638e-57,1.90466489408075,0.953,0.733,1.92993651275329e-53,"Mono/Mac 2","Apoe"
"H2-Ab1.8",6.22340314122034e-51,2.09640637066085,0.743,0.281,1.04273119631147e-46,"Mono/Mac 2","H2-Ab1"
"Pf4.8",1.83685098921342e-50,2.59771548335617,0.427,0.076,3.07764383242708e-46,"Mono/Mac 2","Pf4"
"H2-Aa.8",4.07778429807144e-48,1.98517740376933,0.713,0.219,6.83232759141869e-44,"Mono/Mac 2","H2-Aa"
"Ifi27l2a.8",5.38529619855197e-48,1.4975726332652,0.93,0.539,9.02306378067382e-44,"Mono/Mac 2","Ifi27l2a"
"H2-Eb1.8",4.15273795445168e-47,1.95625269885477,0.69,0.191,6.95791244268379e-43,"Mono/Mac 2","H2-Eb1"
"Lyz2.8",2.70910060338445e-44,1.25600416920545,0.971,0.787,4.53909806097064e-40,"Mono/Mac 2","Lyz2"
"Cd74.8",1.09819325122627e-42,1.96714865950082,0.766,0.382,1.84002279242962e-38,"Mono/Mac 2","Cd74"
"Psap.8",1.74073219540465e-41,1.27082907122813,0.971,0.822,2.91659679340049e-37,"Mono/Mac 2","Psap"
"Npc2.8",6.50846398543097e-40,0.97188108688076,0.842,0.838,1.09049314075896e-35,"Mono/Mac 2","Npc2"
"Ly6e.8",1.95985524045608e-38,1.08478913622691,0.842,0.806,3.28373745538417e-34,"Mono/Mac 2","Ly6e"
"B2m.8",8.29883029936164e-38,0.801242865957615,0.977,0.98,1.39046901665804e-33,"Mono/Mac 2","B2m"
"Fabp5.8",2.76767914379842e-37,1.92055208275533,0.596,0.283,4.63724640543425e-33,"Mono/Mac 2","Fabp5"
"Saa3.7",1.34795986266862e-36,1.17972636033706,0.602,0.203,2.25850674990127e-32,"Mono/Mac 2","Saa3"
"Ms4a7.7",1.54660268671659e-34,1.7520907515989,0.462,0.126,2.59133280159365e-30,"Mono/Mac 2","Ms4a7"
"Bst2.7",3.91255460513105e-34,1.21954830420272,0.784,0.59,6.55548524089707e-30,"Mono/Mac 2","Bst2"
"Spp1.7",4.2290513633558e-33,1.92182691500076,0.614,0.27,7.08577555930264e-29,"Mono/Mac 2","Spp1"
"Ly6a.8",1.30988798325551e-30,1.76903408850537,0.538,0.197,2.1947173159446e-26,"Mono/Mac 2","Ly6a"
