"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gadd45b.5",1.83159857737666e-311,3.75271824652832,0.911,0.192,3.06884341639459e-307,"Granulocytes 2","Gadd45b"
"Lcn2.5",2.45004586957091e-291,4.35356640724896,0.913,0.149,4.10505185446605e-287,"Granulocytes 2","Lcn2"
"Actb.3",4.19325670490331e-287,-1.70329167892239,0.936,0.994,7.0258016090655e-283,"Granulocytes 2","Actb"
"Fth1.5",1.45364339378892e-286,2.59894605084683,1,0.998,2.43557950629334e-282,"Granulocytes 2","Fth1"
"Cxcl2.5",4.32679867798404e-278,4.88426235198124,0.89,0.13,7.24955118496226e-274,"Granulocytes 2","Cxcl2"
"Sod2.5",3.29409387003898e-268,3.03792748555165,0.862,0.383,5.51925427925031e-264,"Granulocytes 2","Sod2"
"Esd.5",9.3462101974151e-265,2.47566662276133,0.875,0.613,1.5659575185769e-260,"Granulocytes 2","Esd"
"Ccrl2.5",1.22889561253049e-258,3.46792399311353,0.839,0.14,2.05901459879484e-254,"Granulocytes 2","Ccrl2"
"Slpi.5",2.92106047331273e-256,3.58563255478649,0.946,0.238,4.89423682303549e-252,"Granulocytes 2","Slpi"
"Rps24.5",7.9560254479492e-255,-2.65112507133287,0.666,0.967,1.33303206380389e-250,"Granulocytes 2","Rps24"
"Nfkbia.5",1.28862138899102e-247,2.98211542888994,0.89,0.478,2.15908513725445e-243,"Granulocytes 2","Nfkbia"
"Rps4x.5",1.84678304880808e-246,-2.99802448583845,0.321,0.904,3.09428499827795e-242,"Granulocytes 2","Rps4x"
"Card19.5",2.17594529138429e-236,2.35076663473318,0.88,0.429,3.64579633571438e-232,"Granulocytes 2","Card19"
"Hilpda.4",1.90454115257054e-233,3.1026077807209,0.821,0.11,3.19105870113194e-229,"Granulocytes 2","Hilpda"
"Atp6v1e1.5",1.12496220385606e-230,1.96528596655814,0.839,0.551,1.88487417256084e-226,"Granulocytes 2","Atp6v1e1"
"Clec4e.5",6.39079403503326e-228,3.3021065544903,0.865,0.229,1.07077754056982e-223,"Granulocytes 2","Clec4e"
"Ccl3.4",1.5387900930566e-226,3.88279542046123,0.849,0.212,2.57824280091633e-222,"Granulocytes 2","Ccl3"
"Il1rn.5",1.38095601074997e-225,3.38292515927907,0.821,0.167,2.31379179601158e-221,"Granulocytes 2","Il1rn"
