"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a9",0.11944396127114,3.44449410589428,0.8,0.812,1
"Cxcl1",0.00632207427822855,2.29576372156247,0.163,0.042,1
"S100a8",1.25143573478579e-05,2.14513213878919,0.919,0.688,0.17281076061657
"Saa3",4.08862336187263e-07,2.06846015753704,0.726,0.312,0.00564598000040991
"Cstdc5",0.00448572021177534,2.00813638106091,0.104,0,1
"Stfa2l1",0.0214427273649556,1.95773459600054,0.2,0.062,1
"Slpi",1.1322518582649e-09,1.90526633545246,0.911,0.562,1.563526591078e-05
"Serpinb2",0.000279106341436535,1.85096527862302,0.407,0.125,1
"Cstdc4",0.254544489300984,1.76005378756834,0.222,0.125,1
"Mt2",0.000389455183831735,1.7504636471974,0.393,0.104,1
"Wfdc17",0.00171355370790404,1.5422067312006,0.763,0.521,1
"Cxcl3",0.000297260920040564,1.52332485654526,0.681,0.396,1
"Ccl4",0.0231540249052068,1.46222027157997,0.556,0.354,1
"Cxcl2",5.0398433559206e-07,1.38369588336155,0.911,0.604,0.00695951969019076
"Pdpn",1.95397336815265e-06,1.35931188923806,0.696,0.292,0.0269824182408199
"Retnlg",0.00699420629379075,1.30853382945565,0.215,0.062,1
"Stfa1",0.130180301046073,1.23501279224443,0.104,0.021,1
"Prok2",0.0187574460526676,1.2214202202579,0.074,0,1
"Ptges",4.76421975973004e-06,1.186804229464,0.763,0.375,0.0657891106621121
"Ccl3",0.000155407065075395,1.17435850891431,0.733,0.396,1
"Cebpb",5.61630836435548e-11,1.15770825050182,0.956,0.604,7.75556022033848e-07
"Mmp12",0.440130210433751,1.126035357596,0.089,0.062,1
"Gmcl1",0.742300235657075,1.09869761447457,0.081,0.104,1
"Mt1",8.67555196207346e-06,1.09081121230474,0.815,0.458,0.119800697044272
"Hilpda",1.4224391112622e-06,1.08863254714276,0.889,0.583,0.0196424616874197
"Csf3",0.106112275404478,1.0838048522251,0.17,0.062,1
"Gja1",0.00325671775805892,1.07304887060149,0.363,0.125,1
"Hp",5.45688528901655e-07,1.06729954476907,0.874,0.479,0.00753541289560295
"Ecm1",3.11426826047904e-05,1.03550370971977,0.763,0.396,0.43004930408955
"G0s2",0.0489444711634626,1.03436130905644,0.133,0.104,1
"Nos2",1.99326817211091e-07,0.987680854992017,0.815,0.375,0.00275250401886796
"Ier3",9.87725184019624e-06,0.968625964918526,0.874,0.583,0.13639497066127
"Clmp",2.21568429625142e-05,0.961282217315142,0.385,0.104,0.305963844469359
"Fth1",1.03054101200465e-12,0.960164506890507,1,1,1.42307408347722e-08
"Esd",4.45343169993402e-08,0.958139935122944,0.948,0.729,0.000614974383443889
"Dusp1",0.0140173670899427,0.950370784291061,0.57,0.396,1
"Met",0.000149500271591889,0.949682742971802,0.511,0.208,1
"Cd93",2.08280800575361e-07,0.948818047841253,0.763,0.312,0.00287614957514515
"Anxa7",2.94012927788002e-05,0.939728463702099,0.556,0.188,0.406002451982452
"Mirt2",7.03132542501438e-05,0.922230825773761,0.541,0.188,0.970955727940235
"Il1rn",0.0643551896605001,0.92142625205065,0.585,0.438,1
"Clec4d",2.75751631848931e-08,0.919419572195353,0.896,0.479,0.000380785428420189
"Fam162a",4.02112959490753e-07,0.90405601432919,0.919,0.667,0.00555277785760781
"Adam8",0.000198593895538324,0.901950716113081,0.785,0.479,1
"Hcar2",0.00785996848768441,0.897290175948869,0.556,0.312,1
"Cd24a",0.00022294947447629,0.89310427599555,0.667,0.333,1
"Nupr1",0.0666109063591949,0.888860436921771,0.452,0.292,1
"Tnfrsf9",0.0113822836905046,0.884972113954288,0.511,0.271,1
"Prdx1",0.124052627558154,0.883602539524446,0.756,0.688,1
"Bsg",3.51224937756163e-09,0.880232283517616,0.941,0.833,4.85006516547486e-05
"Pf4",0.0847325021405837,0.857435168187879,0.207,0.083,1
"Slc7a11",6.76013379886428e-07,0.847513049991766,0.8,0.375,0.00933506876285168
