"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",3.71969792192652e-11,1.23478453889085,0.269,0.12,5.13653086038834e-07
"Lcn2",3.77329356907753e-18,0.930728069341242,0.926,0.877,5.21054108953916e-14
"Tnf",2.08378366181414e-13,0.875810409991736,0.528,0.386,2.87749685859915e-09
"Gadd45b",1.08156529169441e-12,0.722338795657321,0.843,0.725,1.49353351130082e-08
"Ccl3",3.80100233337274e-13,0.624821026856758,0.841,0.703,5.24880412215442e-09
"Sod2",2.16049328697489e-09,0.5497394165138,0.737,0.634,2.98342517998363e-05
"Ccrl2",3.22791591805646e-09,0.521007219298179,0.781,0.683,4.45742909124416e-05
"Gde1",1.24007022957504e-08,0.487960459947591,0.429,0.289,0.000171241298002017
"Map3k8",4.44654412245473e-08,0.47805728916386,0.418,0.289,0.000614023277869774
"Plgrkt",1.00803355109274e-08,0.476773524922411,0.557,0.409,0.000139199353070397
"F10",1.48135414526847e-07,0.463421509613797,0.467,0.323,0.00204560193920124
"Hmox1",2.76192299857606e-06,0.453703740389988,0.604,0.475,0.0381393946873368
"Ccl4",2.99328927333179e-07,0.447855625769415,0.675,0.537,0.00413343315754387
"Cstb",6.3345340905121e-08,0.445662751182114,0.877,0.822,0.000874735812558815
"Il1a",4.67450538147081e-05,0.436355991710621,0.451,0.331,0.645502448127305
"Mpeg1",2.31387692765068e-05,0.42037121748437,0.458,0.346,0.319523264939282
"Cd274",2.57320013580193e-07,0.418718204738322,0.619,0.485,0.00355333206752889
"Il1f9",6.07936461661925e-05,0.408107179050318,0.531,0.434,0.839499459908952
"Bri3",1.48892316116449e-06,0.395457843628667,0.597,0.468,0.0205605399325205
"Esd",1.14633751942164e-06,0.395248307471922,0.692,0.622,0.0158297748056935
"Cd63",0.000459178652042581,0.378635198362861,0.475,0.415,1
"Ctsz",2.7967491437267e-08,0.375035434504771,0.742,0.652,0.00038620308925722
"Bsg",7.89474845524804e-06,0.373695922831218,0.759,0.703,0.10901858141852
