"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cx3cr1",0.272633284470152,4.66289806778147,0.045,0.011,1
"Ngp",0.0288326848767727,1.94188996235216,0.114,0.023,1
"Polr2l",0.372730514232692,1.91179279954728,0.068,0.057,1
"Id2",0.308919336153161,1.48895641259959,0.239,0.241,1
"Gdf15",0.00125935628344198,1.48090079176188,0.091,0,1
"Arhgap39",0.346259483344838,1.42434801595863,0.011,0,1
"Hamp",0.346259483344842,1.21258369205649,0.011,0,1
"Hjurp",0.399367590905321,1.18642670360996,0.182,0.138,1
"Serpinb2",0.763340238390564,1.10288173729423,0.057,0.069,1
"Ghitm",0.00726415218281959,1.06452370342798,0.239,0.092,1
"Gm12840",0.175456074339574,1.04887113515834,0.216,0.138,1
"Sap18",0.0114432471656753,1.02017699635612,0.511,0.425,1
"Stfa3",0.638976401115548,0.985290473550956,0.045,0.023,1
"Pigb",0.144644572320015,0.972456524020178,0.023,0,1
"Wfdc17",0.000843680156310657,0.970614802978415,0.727,0.644,1
"Gpnmb",0.250359367580839,0.936761020303124,0.068,0.023,1
"Dmxl1",0.694521930982992,0.931887036242017,0.057,0.069,1
"Rbbp8",0.586532325087634,0.928608876254152,0.091,0.057,1
"Slco3a1",0.0309198656596199,0.878430103040929,0.182,0.069,1
"Atp5k",0.0239256304103505,0.865451593304279,0.261,0.149,1
"Kbtbd7",0.594983434862374,0.852328961279182,0.057,0.034,1
"Hspa1a",0.216318871668661,0.842592918954248,0.761,0.644,1
"Cyba",0.000912771416797635,0.830682178489379,0.75,0.54,1
"Lcn2",0.000320215249480405,0.761721516344855,0.966,0.943,1
"Ccl4",0.0608351451691296,0.745780676617856,0.716,0.701,1
"Sp9",0.0636682268936727,0.728953238762485,0.034,0,1
"Hck",0.0301667163826613,0.700993339632231,0.25,0.161,1
"Gbp2",0.139745468787437,0.693033569743737,0.125,0.046,1
"Map3k8",0.136857675667728,0.686152034226022,0.545,0.46,1
"Slc44a1",0.109073537199728,0.685729732868981,0.261,0.161,1
"Denr",0.558265672427225,0.682079776168334,0.239,0.195,1
"Akap13",0.0779389527224728,0.679960030900943,0.364,0.264,1
"P2rx7",0.307451923656567,0.668235070953396,0.17,0.115,1
"Slc38a1",0.294791302231494,0.666106213114681,0.102,0.046,1
"Ikbke",0.0712521205332843,0.657129330842032,0.33,0.195,1
"Tmsb10",0.202531819331362,0.656989005771361,0.307,0.276,1
"Lrch1",0.0541674482073953,0.656700024196821,0.114,0.034,1
"Vps54",0.0780853541010942,0.653591346262052,0.091,0.023,1
"Klhl21",0.214242303223273,0.645885092916013,0.08,0.023,1
"Sult5a1",0.445342170503495,0.63590191140947,0.023,0.046,1
"Mreg",0.203231453233576,0.63249871864614,0.227,0.149,1
"Csnk2b",0.0600935852208499,0.628657434430423,0.216,0.092,1
"Muc3",0.68748756038797,0.624350141166176,0.114,0.08,1
"Higd1a",0.0106620892450951,0.624170861170702,0.75,0.701,1
"Itpr2",0.177726475244984,0.621343195094595,0.159,0.138,1
"Dstn",0.0667511596840961,0.604835498538252,0.375,0.379,1
"Slc32a1",0.135179086636194,0.604194476346807,0.205,0.103,1
"Slc26a11",0.172869533234208,0.602724367149389,0.057,0.08,1
"Sqstm1",0.266491066978883,0.598077876760275,0.557,0.448,1
"Fcer1g",0.0173764166268929,0.594124540027446,0.932,0.851,1
"Ncoa2",0.223331854328569,0.591377141889995,0.091,0.034,1
"Add1",0.0116862462689424,0.587117640822421,0.136,0.023,1
"Gpr137b",0.322523538764122,0.584789994355821,0.102,0.057,1
"Tmem41b",0.199321699511054,0.577470985991459,0.17,0.103,1
"Sod2",0.0455285566837491,0.577302957215752,0.739,0.667,1
"Gapvd1",0.212292982852566,0.573965051380414,0.068,0.023,1
"Gm20400",0.572963483403869,0.569919129061113,0.034,0.023,1
"Zc3h15",0.12797037069346,0.568778814123589,0.227,0.184,1
"Ncoa3",0.178128134898195,0.567447803608142,0.239,0.184,1
"Atox1",0.125957826799758,0.563223288713151,0.545,0.448,1
