"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cxcl9",0.601226302393808,1.67079732255905,0.02,0.015,1
"Ccl4",0.0445534210838714,1.08343198740914,0.698,0.582,1
"Cxcl2",0.0258214785041243,0.861677075760552,0.94,0.948,1
"Ccl3",0.0303308928089328,0.807926576648117,0.698,0.612,1
"Ccrl2",0.000436003040618616,0.789514996628412,0.678,0.649,1
"Tnf",0.0576150528596947,0.785939732114087,0.503,0.418,1
"Bsg",4.81016130427201e-06,0.78376563544803,0.799,0.657,0.0664235174506922
"AW112010",0.452336740727494,0.771322536235221,0.06,0.052,1
"Lcn2",0.0170802078053388,0.746978851704251,0.899,0.836,1
"Klhdc4",0.00317289724339099,0.741186009699917,0.329,0.209,1
"Gde1",0.00249558537615714,0.735353074766562,0.342,0.164,1
"Fnip2",0.000804298575112766,0.734322036234438,0.336,0.157,1
"Traf1",0.0504628566473479,0.716613299430651,0.403,0.299,1
"Gadd45g",0.606429237900114,0.707215917584247,0.161,0.142,1
"Gadd45b",0.000407036931491445,0.694840458176226,0.799,0.799,1
"Prok2",0.0719386612769478,0.694308474118334,0.094,0.03,1
"Hmox1",0.0190125083102804,0.661264057306062,0.631,0.537,1
"Plgrkt",0.00253244583306144,0.633604579009181,0.53,0.343,1
"H2-Q7",0.129087426418667,0.629618093707479,0.181,0.119,1
"Cstb",0.00450808586292491,0.622541642733242,0.839,0.851,1
"Fth1",0.00020772570920036,0.620902451639799,1,1,1
"Acp5",0.227441755374243,0.620736726147597,0.027,0.015,1
"F10",0.0368298711615283,0.619527843086079,0.49,0.396,1
"Saa3",0.44117829054091,0.604812975637682,0.181,0.127,1
"Slpi",0.100298305467453,0.601434219839894,0.94,0.963,1
"Sod2",0.000172550873615242,0.585089056051069,0.671,0.642,1
"Itpr2",0.0389839368976412,0.58426557650371,0.201,0.127,1
"Slc2a3",0.0652489268258873,0.581593589205276,0.255,0.231,1
"Dmkn",0.2744494933413,0.576591265504852,0.027,0.007,1
"Larp4b",0.00361570208146776,0.550713843217578,0.403,0.224,1
"2310010J17Rik",0.00963134570078121,0.546344358892865,0.201,0.09,1
"Fcer1g",1.26376428809904e-06,0.535148243235231,1,0.993,0.0174513210543596
"Spp1",0.695338736051002,0.531828845737945,0.483,0.433,1
"Cpne2",0.0182536582645718,0.530086032223268,0.383,0.231,1
"Serf1",0.0830670389920576,0.51495835720676,0.221,0.127,1
"Nr4a1",0.0126439526809426,0.501858864075424,0.215,0.09,1
"Hcar2",0.0440741128099852,0.494521642466379,0.658,0.582,1
"Zfand2a",0.115338295810939,0.493320137045628,0.054,0.03,1
"C9orf72",0.0165621817343644,0.489549396578696,0.336,0.194,1
"Ero1l",0.0106013270970793,0.486563414347249,0.671,0.657,1
"Ltf",0.0164957681609179,0.483895379238456,0.141,0.045,1
"Ciapin1",0.0100185139339499,0.483174599522038,0.228,0.104,1
"Batf",0.0661599576950836,0.482283177418577,0.208,0.112,1
"Ptges",0.457758374678966,0.480129410926502,0.154,0.104,1
"Furin",0.0265482674384469,0.477521907434746,0.53,0.388,1
"Abhd17a",0.0482003162231842,0.470979155952731,0.141,0.067,1
"Nfkbia",0.00761552021081733,0.463232703654431,0.859,0.866,1
"Ftl1",0.0826020918328776,0.462359853088246,1,1,1
"Il1rn",0.049605903707428,0.460563901476494,0.805,0.746,1
"Tet2",0.0133952722836785,0.459242249655022,0.416,0.313,1
"Nfkbib",0.0224394028662039,0.44611877963266,0.396,0.246,1
"Impa2",0.104288595275038,0.44238412738063,0.356,0.261,1
"Bcl2a1b",0.0925884301828303,0.439778796101439,0.376,0.306,1
"Psap",0.217383593657082,0.436863756666344,0.604,0.56,1
"Id2",0.447893307412847,0.43497500572667,0.275,0.231,1
"Esd",0.0719060142226205,0.433911663647774,0.725,0.642,1
"Slc7a11",0.137100072430995,0.429152062987019,0.678,0.634,1
"Il12a",0.0252865304060212,0.427061099529804,0.148,0.052,1
"Nhlrc3",0.00015521610900897,0.42672807334295,0.154,0.022,1
"Tpi1",0.0137657280388471,0.422741384221436,0.839,0.776,1
"Ier3",0.0386867872990141,0.421416162115726,0.872,0.821,1
"Cdc42ep2",0.0816157597892947,0.419787563246293,0.262,0.157,1
"Etf1",0.127677123175617,0.41973590521038,0.383,0.291,1
"Denr",0.0668440740932378,0.415429046544221,0.275,0.172,1
"Cd24a",0.0987281400353184,0.401796378544396,0.765,0.716,1
"Gm20406",0.169340716220624,0.401546349242701,0.349,0.261,1
"Dmxl2",0.295237875203512,0.399279765750929,0.349,0.291,1
"Fam162a",0.0877074292634038,0.39914970913817,0.57,0.552,1
"Smg6",0.000488496133159317,0.398337162853961,0.067,0,1
"Spata13",0.132350330360041,0.395147630013509,0.403,0.358,1
"Dusp16",0.0743312931948506,0.393665968156492,0.376,0.276,1
"Zeb2",0.0670119002997603,0.389756422440938,0.638,0.575,1
"Hivep1",0.0761839701553811,0.387636960722679,0.268,0.187,1
"Clcn7",0.0592291317346813,0.386171015442137,0.161,0.075,1
"Malt1",0.396855318857501,0.382348875794869,0.282,0.224,1
"Hk1",0.0174946720961281,0.381909083776895,0.383,0.239,1
"Syne1",0.152298351929813,0.380910442727501,0.221,0.172,1
"Tnfrsf23",0.1644532744984,0.380521001240774,0.597,0.5,1
"Por",0.0785803776344861,0.379985450335689,0.43,0.366,1
"Wsb1",0.0670758358003901,0.377496076543304,0.477,0.388,1
"Plbd1",0.14045807813261,0.376676690020324,0.517,0.47,1
"Snapc1",0.037724374509016,0.375560134226987,0.235,0.119,1
"Npc2",0.152613399245876,0.374900973601328,0.604,0.545,1
"Higd1a",0.207760532508943,0.374893782855957,0.604,0.545,1
"Prdx1",0.529671513019256,0.371300818360659,0.242,0.187,1
"Saa1",0.161825937836673,0.369008687948334,0.013,0,1
"Pura",0.0618953266679454,0.365778113962537,0.134,0.09,1
"Pdpk1",0.102964673491928,0.36476343107805,0.174,0.097,1
"Rilpl2",0.244884519409192,0.360441617217341,0.322,0.246,1
"Bri3",0.0462836157385544,0.356313753593544,0.738,0.754,1
"Cpeb4",0.314888097650726,0.354152813854838,0.242,0.172,1
"Neu1",0.0194484460678118,0.349107155045853,0.409,0.254,1
"Nemf",0.623145319273102,0.347508844518572,0.114,0.09,1
"Tnip1",0.157680220251123,0.345806518423225,0.443,0.343,1
"Fkbp15",0.130330853939344,0.345674437791294,0.302,0.231,1
"Egln3",0.222118973139756,0.344763006077506,0.49,0.44,1
"Mpp1",0.0703946296769974,0.34436612384056,0.302,0.231,1
"Sp140",0.0487828424312641,0.343618142625497,0.456,0.485,1
"Sod1",0.173302955573346,0.343492991418112,0.128,0.067,1
"E330009J07Rik",0.0897806847463224,0.340874515749918,0.208,0.134,1
"Lgals8",0.317841403135755,0.338955233266894,0.235,0.187,1
"Pank2",0.0622772354943257,0.337793244059377,0.154,0.067,1
"Nudt18",0.013665651563751,0.337222845910917,0.134,0.045,1
"Saraf",0.0638237081666775,0.336931758514605,0.248,0.157,1
"Trmt1l",0.157865190387123,0.333238896254706,0.121,0.075,1
"Eif4g2",0.429606453758255,0.330884748742594,0.47,0.433,1
"Atp6v1d",0.189712817535464,0.329269112740001,0.329,0.261,1
"Plk2",0.386629401671215,0.328184921755492,0.174,0.157,1
"Plekhg3",0.219408088480988,0.32770597171,0.107,0.06,1
"Cry1",0.102633003315194,0.326323876493752,0.188,0.149,1
"Tk2",0.0780994797219589,0.32511436016074,0.114,0.045,1
"Slc32a1",0.192188001751579,0.323745839423417,0.195,0.119,1
"Hk2",0.0472845311706158,0.321983441524771,0.685,0.567,1
"Atp1b3",0.38827905107224,0.321961961049052,0.49,0.41,1
