"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hspa1a",0.360569371670803,3.31799723409409,0.014,0.004,1
"Psap",1.46979916497244e-36,2.68198683330093,0.806,0.47,2.46264850091132e-32
"Cstb",1.23128606404833e-47,2.49925520860501,0.934,0.595,2.06301980031297e-43
"Hspa1b",0.642364717877454,2.330629457486,0.019,0.014,1
"Sod2",3.85938492420192e-26,2.3217143307535,0.578,0.165,6.46639944050032e-22
"Ccl3",9.48519206264164e-22,2.22134936246094,0.531,0.129,1.58924393009561e-17
"F10",1.43090453949153e-29,2.11933980599,0.455,0.039,2.39748055591806e-25
"Hsp90aa1",2.46590447107879e-09,2.06993916817114,0.545,0.308,4.1316229412925e-05
"Creg1",6.05896167147033e-31,2.0224128543628,0.735,0.419,1.01517902805485e-26
"Fth1",4.41763648615942e-47,2.0135870431972,1,0.996,7.4017499325601e-43
"Prdx1",2.65860251080268e-25,1.9350313968903,0.55,0.129,4.45448850684989e-21
"Capg",1.79696567998528e-27,1.90975198901652,0.611,0.197,3.01081599681533e-23
"Cxcl2",5.73726785404775e-05,1.89086145218867,0.583,0.401,0.9612792289457
"Ftl1",1.54604606596695e-39,1.85687757070602,1,0.993,2.59040018352763e-35
"Cd9",4.90837417793154e-36,1.84747369785386,0.886,0.616,8.22398093512429e-32
"Il1rn",2.17859259434918e-18,1.84492169206973,0.536,0.226,3.65023189183206e-14
"Ccrl2",6.08167047380593e-22,1.80874068264028,0.502,0.108,1.01898388788618e-17
"Hilpda",3.43696749720734e-21,1.76203847210073,0.379,0.043,5.7586390415709e-17
"Cd63",2.27750060266418e-26,1.75993396805629,0.81,0.448,3.81595225976383e-22
"Saa3",0.00353668657444639,1.68844288582907,0.209,0.108,1
"Esd",1.05559023819887e-21,1.68276585029889,0.687,0.366,1.76864144410222e-17
"Slc7a11",1.66623541607958e-11,1.65618307061302,0.45,0.201,2.79177743964133e-07
"Gstm1",2.60989108369923e-19,1.64843812935318,0.28,0.014,4.37287251073806e-15
"Anxa5",7.63183690132653e-21,1.64333106830177,0.332,0.039,1.27871427281726e-16
"Ctsb",4.13354127292729e-27,1.52688168914516,0.9,0.667,6.92574840278968e-23
"Gpnmb",6.95877579340795e-09,1.51164447361046,0.095,0,0.00011659428841855
"Lamp1",4.51152760746677e-24,1.48099072346226,0.697,0.315,7.55906450631057e-20
"Gadd45b",1.34485680076291e-18,1.47616896186307,0.73,0.405,2.25330756967825e-14
"Bax",1.55746743162571e-19,1.45798302114426,0.536,0.165,2.60953668168888e-15
"Ccl4",8.71691565201262e-09,1.449973522634,0.341,0.115,0.000146051921749471
"Bri3",2.46209647242141e-27,1.44579553104957,0.853,0.642,4.12524263954207e-23
"Ppia",2.14349522973284e-20,1.39316350569101,0.825,0.541,3.59142625741738e-16
"Itpr2",1.24023201696403e-09,1.3847862136809,0.341,0.176,2.07800874442324e-05
"Plin2",1.34866049043863e-23,1.37303596092652,0.749,0.326,2.25968065172993e-19
"Atp6v0c",2.00307716137806e-24,1.3599755599601,0.929,0.806,3.35615578388894e-20
"Rgs1",9.31983802659882e-06,1.33990773776996,0.204,0.068,0.156153886135663
"Pdcd1lg2",2.46191364185552e-19,1.32958568610148,0.256,0.007,4.12493630692892e-15
"Ninj1",2.64033341796782e-17,1.32435361022098,0.716,0.398,4.42387864180508e-13
"Nfkbia",7.54358287066394e-12,1.31352350258411,0.692,0.495,1.26392730997974e-07
"Tnf",1.27057446819898e-09,1.28123351700665,0.251,0.054,2.12884752146738e-05
"Rnh1",6.47594693370514e-18,1.27849637079729,0.659,0.319,1.0850449087423e-13
"St13",5.7166242772039e-18,1.25610172256865,0.498,0.136,9.57820397645513e-14
"Bcl2a1b",2.53483461987364e-15,1.25179065078622,0.408,0.1,4.24711540559828e-11
"Aprt",2.35526893085064e-16,1.25134233553547,0.602,0.258,3.94625309364025e-12
"Rps19",6.29536181878579e-22,1.25055898925384,0.848,0.631,1.05478787273756e-17
"Tnfrsf1b",9.45776631397267e-13,1.2231480293665,0.512,0.222,1.58464874590612e-08
"Npc2",2.19876918139874e-18,1.21965859548472,0.682,0.369,3.68403776343358e-14
"Ctsz",9.01226294530483e-18,1.20945026669008,0.735,0.452,1.51000465648582e-13
"Xist",7.27270370095343e-11,1.20546731705635,0.336,0.093,1.21854150509475e-06
"Blvrb",3.57611853932083e-12,1.20538865439346,0.327,0.093,5.99178661263205e-08
"Rpl12",3.12690158434939e-17,1.20293938290849,0.682,0.344,5.23912360457741e-13
"Rpl36al",1.14537697868344e-16,1.19780730394324,0.621,0.276,1.91907912778411e-12
"Rps28",3.81194887839087e-20,1.135210747015,0.924,0.753,6.3869203457439e-16
"Rps17",2.88254356688239e-18,1.12582484088989,0.773,0.53,4.82970174631145e-14
"Spp1",1.74278439992679e-05,1.11582008604013,0.294,0.125,0.292003526207733
"Nop10",1.72468442052315e-13,1.11110955985185,0.483,0.172,2.88970874658653e-09
"Ifrd1",5.35065195526774e-12,1.11025911217918,0.308,0.097,8.9650173510511e-08
"Cd68",1.49429072584813e-13,1.10490593651713,0.573,0.294,2.50368411115855e-09
"Basp1",3.90740803577291e-12,1.08902119701386,0.73,0.452,6.54686216393752e-08
"AA467197",3.36323814709318e-15,1.08180513083069,0.754,0.427,5.63510551545463e-11
"Gdf15",1.74930958331442e-09,1.07197691520964,0.118,0.004,2.93096820684331e-05
"Lipa",2.44889931342052e-12,1.06961014476461,0.422,0.14,4.10313079963608e-08
"Mpeg1",1.3313873975468e-12,1.06278520541339,0.711,0.441,2.23073958458966e-08
"Hcar2",1.23008900857017e-06,1.06213672377251,0.308,0.154,0.0206101413385932
"C1qb",0.000567648684419629,1.06171514858835,0.327,0.183,1
"Plgrkt",2.2966637939099e-15,1.05438321102494,0.45,0.125,3.84806018669604e-11
"Dtnbp1",2.67737910076274e-12,1.05278437689391,0.346,0.09,4.48594868332797e-08
"Cdkn1a",3.76721986998778e-10,1.03553216391585,0.427,0.161,6.31197689216452e-06
"Cd302",3.87411100173208e-09,1.02379464350085,0.261,0.079,6.4910729834021e-05
"Atp5g1",2.90208258557781e-13,1.0228350394015,0.46,0.158,4.86243937213562e-09
"Lgals3",9.71693059789015e-09,1.01366810280475,0.806,0.627,0.00016280717216765
"Rilpl2",4.41378571592846e-08,0.998108031428658,0.261,0.09,0.000739529796703813
"Acod1",1.10796901061979e-06,0.991254613562317,0.384,0.179,0.0185640207729345
"Lcn2",0.00243836661988837,0.986586807992815,0.63,0.573,1
"Atp6v1c1",4.47156154313185e-11,0.983744752428915,0.365,0.118,7.49210136551742e-07
"Tomm20",4.38007939149614e-11,0.981947483870085,0.512,0.24,7.33882302045179e-07
"Gpr137b",6.58886102834226e-09,0.979810429299946,0.336,0.125,0.000110396366529875
"Rps20",4.70041293836281e-11,0.969739682215041,0.739,0.53,7.87554187822689e-07
"A930007I19Rik",4.46788091908606e-16,0.966738644881942,0.246,0.014,7.48593447992869e-12
"Slc31a2",8.01354015541474e-11,0.962026896886162,0.318,0.1,1.34266865303974e-06
"Rpl32",4.25415885090581e-16,0.958219246823536,0.853,0.731,7.12784315469268e-12
"Txnrd1",2.4360559442815e-09,0.955277944188677,0.327,0.108,4.08161173464366e-05
"Bola2",1.08907958210775e-10,0.954968539616397,0.483,0.211,1.82475283982154e-06
"Nceh1",1.35223397517449e-09,0.953330948387395,0.18,0.029,2.26566802540487e-05
"Irak2",3.81891025470193e-09,0.94853645605505,0.299,0.086,6.39858413175308e-05
