"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Acp5",9.82669275169095e-11,2.91235593005035,0.615,0.244,1.64646237054582e-06
"Hspa1b",0.0263367752068463,2.57820934473525,0.051,0.048,1
"Cxcl2",9.48316293855299e-07,2.41123335855776,0.231,0.012,0.0158890395035455
"Saa3",0.0533734737805638,2.20923544439373,0.231,0.107,1
"Spp1",0.0073821615319373,2.02529373708916,0.256,0.089,1
"Il1rn",4.23702575687417e-06,1.88523398190325,0.385,0.202,0.0709913665564267
"Arg1",3.78590515812237e-06,1.86454903063853,0.282,0.033,0.0634328409243404
"Cd14",2.70465220657918e-07,1.77847942842921,0.564,0.176,0.00453164477212342
"Ctsd",1.15471736095153e-11,1.69640726806442,0.821,0.47,1.93472893827429e-07
"Cxcl3",0.000355357126387817,1.62541017538721,0.026,0.009,1
"Clec4n",3.02849758752407e-06,1.59504243199129,0.564,0.247,0.0507424770789658
"Sod2",1.71803917243984e-05,1.55369318853839,0.718,0.473,0.287857463342295
"Hspa1a",0.364416200764335,1.52950010493161,0.077,0.074,1
"Hp",0.0968817152836996,1.49423413341827,0.282,0.14,1
"Fth1",2.16715562431394e-05,1.46072248050737,1,1,0.3631069248538
"Ctsb",1.3854315557774e-06,1.42522941432883,0.923,0.774,0.0232129057170503
"Cd63",0.000336114015344278,1.42233491571152,0.487,0.185,1
"C1qb",0.000715536216683546,1.41901900762204,0.513,0.25,1
"Plin2",4.33413926455988e-08,1.37077514198766,0.641,0.366,0.000726185033777008
"Ftl1",2.11576880485137e-10,1.36073424100735,1,0.997,3.54497063252848e-06
"Hilpda",1.88441242832647e-05,1.3192370256614,0.231,0.03,0.315733302366101
"Cd9",1.51700329202509e-07,1.31095045976207,0.615,0.354,0.00254173901578803
"Ptgs2",4.45718284060453e-06,1.29773441828873,0.154,0.009,0.074680098494329
"C1qa",0.00125262315735371,1.23304950865141,0.385,0.152,1
"Ctsl",0.000441297964784939,1.21098211219341,0.641,0.396,1
"Cstb",1.34471162196002e-07,1.20021997731882,0.949,0.801,0.00225306432259402
"Pgk1",7.12870761028179e-10,1.18549279866153,0.846,0.592,1.19441496010271e-05
"Lyz2",0.000341952350988282,1.15896244363967,0.897,0.708,1
"Tgfbi",7.11923357582087e-06,1.11984149643361,0.846,0.643,0.119282758562879
"Fn1",0.00321822991200008,1.10522806950001,0.538,0.268,1
"Ctsc",2.01928002294835e-07,1.10353148130803,0.846,0.699,0.00338330367844996
"Apoc2",1.49167109354021e-05,1.09295426810592,0.462,0.128,0.249929491722662
"Mif",1.20248675673541e-07,1.08282398852269,0.923,0.777,0.00201476656091019
"Phlda1",0.0250082943711306,1.06510964913618,0.128,0.036,1
"Bnip3",2.66698078934288e-07,1.06259207491502,0.513,0.143,0.004468526312544
"Pkm",2.68253500222849e-08,1.05874514732265,0.923,0.762,0.000449458739623384
"Pgam1",1.90553813759609e-09,1.04881410644305,0.974,0.696,3.19272914954225e-05
"Clec4d",0.000256948457562726,1.04836357807296,0.41,0.143,1
"Nfkbia",0.206292912439389,1.01785087689101,0.692,0.649,1
"Lgals3",7.70985524420636e-05,1.00698821473365,0.974,0.911,1
"Aldoa",1.22904338917791e-09,0.999508215606366,0.949,0.887,2.05926219856759e-05
"Il1b",0.445249908170417,0.99284416802894,0.744,0.676,1
"Lgmn",7.72895466776117e-05,0.991177964159129,0.872,0.586,1
"Sdc4",0.00131741037426222,0.982338098961743,0.487,0.229,1
"Ccr1",3.5110533837863e-08,0.978332987121339,0.769,0.324,0.000588276994453395
"Tpi1",1.89356200169593e-05,0.966168678578968,0.795,0.548,0.317266313384154
"Trem2",6.18044959925904e-06,0.956851181055718,0.564,0.19,0.103553433035585
"Pla2g7",0.000777889174983278,0.951561645277394,0.41,0.161,1
"Tnfaip2",0.000491482680802626,0.949404073936659,0.385,0.146,1
"Srgn",0.000953852585752079,0.94937347378082,1,0.97,1
"Gapdh",9.62957239137501e-09,0.947554326880713,1,0.982,0.000161343485417488
"Apoe",2.15040453025232e-07,0.9464168511336,0.872,0.464,0.00360300279043777
"Clec4e",1.65122207891366e-06,0.910791793084423,0.513,0.137,0.0276662259321983
"Csf1r",3.65489507222862e-05,0.9088115214868,0.769,0.506,0.612377669351905
"Cebpb",0.000304941787758725,0.904301701155687,0.769,0.658,1
"Fcgr2b",3.26847290833008e-05,0.900541286391141,0.795,0.527,0.547632635790705
"Ms4a6d",3.2697771721977e-05,0.897157906035389,0.795,0.533,0.547851165201725
"C1qc",8.39805769949893e-05,0.890775137887693,0.487,0.167,1
"Gngt2",0.000298080316749296,0.877289135626165,0.949,0.818,1
"Ctsz",9.97672181301803e-07,0.845714918703079,1,0.955,0.0167159973977117
"Msrb1",5.23156597675052e-05,0.842547912567848,0.872,0.688,0.87654887940455
"F10",2.95549879625349e-05,0.838844234091525,0.359,0.077,0.495193823312271
"Ehd1",5.01991640952534e-06,0.833205587947857,0.436,0.262,0.0841086994415971
"Cxcl1",0.02110479456243,0.829230578927954,0.051,0.003,1
