"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spp1",7.36547818419937e-34,4.84536931045583,0.913,0.266,1.2340858697626e-29
"Pf4",2.37410651517588e-24,4.05516795560374,0.707,0.101,3.97781546617719e-20
"S100a8",4.94046719122932e-10,3.5479768635804,0.348,0.089,8.27775277890472e-06
"Sparc",4.95089528932715e-16,3.09175174952455,0.598,0.038,8.29522505726763e-12
"Cd9",1.40816689839268e-19,2.95095157453594,0.652,0.266,2.35938363825694e-15
"Fcrls",8.00595544028385e-15,2.91578473809665,0.576,0.089,1.34139783401956e-10
"S100a9",0.00150027560845762,2.81817185894459,0.076,0.114,1
"Cd81",1.52349202656307e-16,2.7699876485693,0.609,0.228,2.55261089050642e-12
"Siglech",1.54641070605726e-10,2.68130796247781,0.391,0.013,2.59101113799893e-06
"Hexb",1.40236697828379e-29,2.54950264309157,0.88,0.772,2.3496658721145e-25
"Cd63",6.0964353988758e-18,2.53679337134528,0.641,0.316,1.02145775108164e-13
"Gpr34",4.24911781289839e-10,2.53510255937509,0.402,0.076,7.11939689551125e-06
"Ctsl",6.19263317476904e-33,2.44316182098334,0.87,0.684,1.03757568843255e-28
"P2ry12",5.97252587170311e-10,2.39759012759036,0.478,0.152,1.00069670980386e-05
"Syngr1",7.65803199625592e-11,2.3790341614495,0.478,0.139,1.28310326097268e-06
"Fabp5",4.08955190734154e-22,2.33942626531606,0.87,0.278,6.85204422075075e-18
"Olfml3",5.22778021880282e-17,2.33818114292026,0.489,0.241,8.75914575660413e-13
"Lcn2",8.39379343919037e-08,2.30322973384041,0.261,0.025,0.00140638009073635
"Ctsd",1.12724423161847e-34,2.23999643799743,0.989,0.899,1.88869771007675e-30
"Ccl7",1.1359121383119e-06,2.20151177684347,0.272,0.013,0.0190322078774159
"Cst3",5.3554841780524e-36,2.1454475845847,1,1,8.97311374032679e-32
"Arg1",4.20678715003332e-10,2.12669170876567,0.435,0.177,7.04847186988083e-06
"Gpnmb",1.6585313466226e-08,2.08029763917632,0.391,0.063,0.000277886927126617
"Kctd12",1.24708183217982e-14,1.92079329402684,0.467,0.367,2.08948560981729e-10
"Ltc4s",1.01294194418496e-05,1.91927131877296,0.293,0.076,0.169718422748191
