"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmox1",6.61302331523129e-10,1.77918705840887,0.573,0.361,1.108012056467e-05
"Ttr",0.13973773347059,1.40415132277052,0.114,0.066,1
"Fabp5",8.47056485423171e-10,1.39566482293288,0.555,0.295,1.41924314132652e-05
"Cxcl2",0.145162389523244,1.25371004533533,0.045,0.017,1
"Enpp2",0.345104646995746,1.21043597989771,0.045,0.023,1
"Lgals3",1.94879952404437e-05,0.845809016646908,0.482,0.318,0.326521360253635
"Plin2",2.1425415173933e-06,0.823885031214171,0.605,0.483,0.0358982831239247
"Ftl1",6.38912519624501e-05,0.816322187199626,0.986,0.993,1
"Spp1",0.00864739533098787,0.751618434383384,0.632,0.606,1
"Ecrg4",0.190570449742145,0.662237744620525,0.041,0.017,1
"Chchd10",0.0047393430456805,0.650191014366275,0.15,0.063,1
"Xist",0.0682428500522029,0.643778210373768,0.05,0.043,1
"Prdx1",0.000407318635926568,0.591807348736294,0.918,0.891,1
"C3",0.325827982271042,0.589694066626738,0.036,0.017,1
"Msr1",0.000485313198640138,0.570511300170816,0.377,0.235,1
"Clu",0.223848101858907,0.55980191098372,0.036,0.013,1
"Fth1",0.00374700048465237,0.552294923800244,1,1,1
"Ccl5",0.981315646110408,0.521960587871744,0.064,0.06,1
"Lgals1",0.00254070532825153,0.505590598933368,0.641,0.593,1
"Fxyd1",0.294918258655549,0.504468141361189,0.032,0.017,1
"Ctsd",1.07594152499058e-05,0.499592792465679,0.973,0.974,0.180274002512171
"Vim",0.000103707678292494,0.498388878545769,0.441,0.262,1
"Pf4",0.0459050636969644,0.495443303568228,0.255,0.166,1
"A2m",0.468822811191832,0.49433411291582,0.018,0.007,1
"Serpinb6a",8.85659277747069e-06,0.492703219240891,0.255,0.096,0.148392211986521
"Anxa5",0.00030296303603181,0.480523698130013,0.495,0.328,1
"Plxdc2",6.0540032485919e-05,0.479695456603221,0.473,0.295,1
"Ctla2a",0.00842175717136844,0.47395546460726,0.255,0.149,1
"Ctsb",1.33027458759364e-05,0.464992870968427,0.973,0.95,0.222887507151314
"Ptgds",0.198750628063711,0.455934139123,0.036,0.013,1
"Ftl1-ps1",0.00200265107940417,0.452550256929055,0.382,0.265,1
"Gadd45b",0.00951221102500412,0.446679700070873,0.105,0.04,1
"2900040C04Rik",0.174720625326984,0.446081308945147,0.032,0.01,1
"Atp1a1",0.00376809502007041,0.444988431826473,0.473,0.331,1
"Tceal9",0.000476393402728076,0.435948068372337,0.5,0.334,1
"Mt1",0.0287197992139314,0.432467715665056,0.818,0.854,1
"Lyz2",0.00862825947467431,0.429747589171854,0.9,0.834,1
"Timp2",0.000128907508133915,0.427932042100051,0.841,0.805,1
"Esd",0.000913040488725326,0.426732290053616,0.677,0.52,1
"Cd5l",0.017283943928065,0.420765404634175,0.186,0.099,1
"Gm26917",0.771222276544462,0.414454588432609,0.105,0.119,1
"Psap",2.76652719660924e-06,0.407959216908019,0.932,0.828,0.0463531631791878
"Arg1",9.45159258528331e-05,0.396065745300443,0.1,0.017,1
"Man2a1",4.87000687045353e-05,0.39582836355234,0.255,0.106,0.815969651144489
"Fus",0.0261486229821653,0.392019153048716,0.391,0.281,1
"1110008P14Rik",0.000325338334627666,0.391482019037985,0.25,0.123,1
"Sqstm1",0.00105383992386804,0.387943790816533,0.286,0.152,1
"Ube2d2a",0.000551536937410873,0.385293322319469,0.477,0.311,1
"Por",0.000218975181880563,0.381290117105291,0.236,0.103,1
"Cd14",0.00807107720685158,0.377588532433204,0.514,0.381,1
"Creg1",0.0114045534216781,0.377304254826974,0.809,0.728,1
"Cd84",0.000531182097493258,0.376902121465831,0.5,0.331,1
"Jund",0.0127761086682872,0.375715776241092,0.373,0.255,1
"Cst3",0.277042502529014,0.375517807405634,1,0.993,1
"Adam8",1.64804603152982e-05,0.370767025095569,0.209,0.07,0.276130112582822
"Hsd17b11",0.00597792655725443,0.369933268409024,0.309,0.189,1
"Chil1",0.54753326124867,0.368716703650481,0.032,0.02,1
"Tmem205",0.0060191117119744,0.368679008856004,0.223,0.119,1
"Trf",0.0393688625139886,0.366472570344755,0.695,0.606,1
"Rnh1",0.00630483192092076,0.361305189163987,0.545,0.417,1
"App",0.00457596198171496,0.361266995897817,0.536,0.401,1
"Calml4",0.337412568618886,0.358422466217089,0.032,0.013,1
"Igfbp2",0.523426456039451,0.355763633678848,0.032,0.017,1
"Psmd1",1.90400683994825e-05,0.351575129247524,0.377,0.195,0.319016346033329
"Cd63",0.00139689465351474,0.350630636368043,0.941,0.957,1
"Serinc1",0.00239619139137824,0.348827776818975,0.386,0.248,1
"Cul3",0.00685079204955522,0.346460344677385,0.223,0.129,1
"Slc43a2",0.0112218514157348,0.343746568036392,0.164,0.083,1
"Ms4a7",0.00564869855976266,0.343183498912315,0.25,0.139,1
"Anxa2",0.0715616892434409,0.343090747435879,0.277,0.195,1
"Tram1",0.00115213852458131,0.339752205027498,0.482,0.325,1
"C3ar1",0.00350805032991991,0.338702211735969,0.545,0.397,1
"Serpine2",3.25089373445469e-06,0.338684762920726,0.432,0.235,0.0544687245207884
"Scarb2",0.000887314827129764,0.3368786008514,0.545,0.381,1
"Hspa5",0.0203163414002074,0.336711700188059,0.823,0.762,1
"Zfand5",0.000201421902127936,0.335806230780242,0.359,0.199,1
"P2ry12",0.198234562977541,0.33314077834726,0.509,0.5,1
"Nrp2",0.00848810517721066,0.332887990852813,0.195,0.119,1
"Ccl7",0.750606061305139,0.332574452119759,0.064,0.06,1
"Cstb",0.0188899512280702,0.33098402374353,0.805,0.778,1
"Spint2",0.108195474030783,0.330773435892794,0.036,0.01,1
"Abca1",0.000844424347950731,0.330060140894523,0.573,0.411,1
"Ctsl",0.00316937534007603,0.328752434035517,0.964,0.944,1
"Il1rn",0.0117333678872737,0.328378890866594,0.073,0.02,1
"Calr",0.00479313592832905,0.328304582353828,0.9,0.831,1
"Prlr",0.0516997081862444,0.326376169032853,0.027,0.003,1
"Sparc",0.360243586830563,0.325315943094746,0.805,0.775,1
"Hpgd",0.0198679890555685,0.325103592682054,0.341,0.232,1
"Mlec",0.0199518063664429,0.322058930051637,0.473,0.351,1
"Cfh",0.0681888753694875,0.321473700692802,0.445,0.351,1
"Abhd12",5.34863790251353e-05,0.32000623039862,0.823,0.652,0.896164280566142
"Slc16a6",0.0579796616886732,0.319912702609864,0.164,0.106,1
"Sncg",0.225163506927053,0.317041754999486,0.018,0.003,1
"Tm9sf3",0.0170374818213187,0.315404556615348,0.532,0.407,1
"Golm1",0.00272983805866405,0.315323751758356,0.559,0.407,1
"Rock2",0.0104110227258581,0.313944797927548,0.2,0.106,1
"Daglb",0.0299148057412181,0.311174224403682,0.314,0.212,1
"AA467197",0.26635807902502,0.309625925504132,0.055,0.033,1
"Atf3",0.00639994910279495,0.309607376796745,0.241,0.132,1
"Mcee",0.0443000196700009,0.309606148377789,0.345,0.245,1
"Nceh1",2.80279807147011e-05,0.308859625157126,0.227,0.089,0.469608816874817
"Snip1",0.00137306596460675,0.308223397131441,0.095,0.023,1
"Rbmx",0.00354790695784566,0.306439413761796,0.118,0.05,1
"Wfdc21",0.102912264259886,0.305040704792034,0.032,0.017,1
"Iqgap1",0.0306456020395458,0.3038517507621,0.232,0.146,1
"Chmp3",0.000894844486555305,0.299713083023041,0.486,0.325,1
"G6pc3",0.0610803299718994,0.299106519968552,0.118,0.06,1
"Cdc5l",0.0119429508504605,0.29906667759435,0.205,0.129,1
"Folr1",0.1858076092931,0.298862000183043,0.032,0.01,1
"Cd68",0.00698380964137056,0.296713114204881,0.859,0.818,1
"Ecscr",0.0174950153531906,0.296168620115262,0.541,0.421,1
"Igsf6",0.00530932984090485,0.293681101044463,0.255,0.142,1
"Orm2",0.0981285142331664,0.292932617379188,0.009,0,1
"Vps18",0.000334128235333642,0.292588915911267,0.145,0.046,1
"Hif1a",0.028995166287658,0.291368401477976,0.427,0.315,1
"Uqcrc2",0.0362240889882282,0.290853241941905,0.359,0.288,1
"Ski",0.00691190787981672,0.290562573449304,0.291,0.175,1
"Pmp22",0.0147129006321804,0.290084795661633,0.536,0.411,1
"Tbc1d20",0.0698107081306728,0.289525272056125,0.127,0.07,1
"Rhob",0.0784266802307932,0.289346242572948,0.391,0.298,1
"Gm42418",3.84705924282406e-07,0.288802757639896,1,1,0.00644574776135171
"Lipa",0.00105169882775187,0.28799832142945,0.409,0.262,1
"Ddt",0.0436434617358363,0.287396346257595,0.336,0.242,1
"Ezr",0.0196406245875067,0.286599402787069,0.095,0.036,1
"Clec4e",0.0260537169347896,0.285666087218404,0.014,0.017,1
"Hist1h2bc",0.0277376145233011,0.285242611778961,0.477,0.361,1
"Nfkbia",0.0633031425400454,0.285008848208927,0.264,0.179,1
"Rbp1",0.281284238594258,0.283611962276264,0.036,0.017,1
"Ddb1",0.0737859353583494,0.28276676752148,0.264,0.182,1
"Sf3b4",0.12018709948918,0.282405548047942,0.186,0.123,1
"Copb1",0.00725171978640065,0.281295591149369,0.255,0.146,1
"CAAA01118383.1",0.0171941965980467,0.279177572766282,0.232,0.136,1
"Cd48",0.00473464155230062,0.278789665056778,0.473,0.331,1
"Ivns1abp",0.0288831087255832,0.278368342213216,0.268,0.192,1
"Atp6v0a1",0.01032440230709,0.277163897872628,0.295,0.182,1
"Osbpl8",0.00030915624264097,0.277034186075934,0.205,0.083,1
"Hsp90aa1",0.1535919799985,0.276885153859741,0.677,0.616,1
"Capg",0.0488718264082481,0.275823345707073,0.505,0.457,1
"Rap2a",0.0139002918389012,0.275397160476097,0.282,0.175,1
"Tardbp",0.0186624380648704,0.274851504077889,0.259,0.159,1
"Atrx",0.0594154857578361,0.274574920736393,0.241,0.159,1
"Htr2b",0.000277467467687494,0.273961430598567,0.077,0.01,1
"Atp6v1a",0.0951292026704418,0.273798885799925,0.282,0.209,1
"Basp1",0.0033386866023707,0.273765302526436,0.882,0.805,1
"Ep300",0.0193312540674931,0.272768286793652,0.186,0.106,1
"Tmed10",0.00181804514531968,0.271401247492537,0.795,0.659,1
"Tmem37",0.000377129181932801,0.271159960922974,0.505,0.338,1
"Sirpa",0.120942765991087,0.27093024504429,0.5,0.421,1
"Morf4l2",0.0225348956345638,0.270822596783178,0.382,0.268,1
"Ppp6c",0.0325154099538484,0.270623445526168,0.191,0.113,1
"Aldh7a1",0.0102910636864427,0.270085567392385,0.127,0.053,1
"Pbdc1",0.0508150167865388,0.269799114673827,0.255,0.175,1
"Maip1",0.0027612434903103,0.268252406868969,0.145,0.056,1
"Mapk1",0.0682431123767594,0.267372438035216,0.186,0.142,1
"Psmc4",0.00356121030145897,0.266750550980208,0.405,0.265,1
"Tango2",0.00113121504235969,0.265779542597579,0.164,0.063,1
"Ptov1",0.00472492988519777,0.264885738280798,0.273,0.156,1
"Ecm1",0.0315759483362848,0.264480576078108,0.091,0.043,1
"Ddx3x",0.0381057331674477,0.264211264299197,0.273,0.179,1
"Hilpda",0.0160531058578935,0.26418407131257,0.114,0.046,1
"Rcbtb2",0.0012259769449829,0.263741193068117,0.455,0.301,1
"Cd9",0.0676858034004606,0.263295143512092,0.918,0.894,1
"Pld3",0.0081623949799978,0.263106097488575,0.382,0.255,1
